Task,Time,Battery_Level
,05:30,1.0
Rebalancing,05:35,0.9697
CI1,05:40,0.9697
Rebalancing,05:45,0.9394
Rebalancing,05:50,0.9091
BSY4,05:55,0.9091
BSY4,06:00,0.9091
BSY4,06:05,0.9091
Rebalancing,06:10,0.8788
Rebalancing,06:15,0.8485
phi_Bar1,06:20,0.9765
phi_Bar1,06:25,1.0
Rebalancing,06:30,0.9697
Rebalancing,06:35,0.9394
7 cont.,06:40,0.9194
7 cont.,06:45,0.8994
7 cont.,06:50,0.8794
7 cont.,06:55,0.8593999999999999
7 cont.,07:00,0.8393999999999999
7 cont.,07:05,0.8193999999999999
7 cont.,07:10,0.7993999999999999
7 cont.,07:15,0.7793999999999999
7 cont.,07:20,0.7593999999999999
2 cont.,07:25,0.7483999999999998
2 cont.,07:30,0.7373999999999998
2 cont.,07:35,0.7263999999999998
2 cont.,07:40,0.7153999999999998
2 cont.,07:45,0.7043999999999998
2 cont.,07:50,0.6933999999999998
2 cont.,07:55,0.6823999999999998
2 cont.,08:00,0.6713999999999998
2 cont.,08:05,0.6603999999999998
2 cont.,08:10,0.6493999999999998
2 cont.,08:15,0.6383999999999997
2 cont.,08:20,0.6273999999999997
2 cont.,08:25,0.6163999999999997
2 cont.,08:30,0.6053999999999997
phi_CQEXTRA2,08:35,0.7333999999999997
7 cont.,08:40,0.7133999999999997
7 cont.,08:45,0.6933999999999997
7 cont.,08:50,0.6733999999999997
7 cont.,08:55,0.6533999999999996
7 cont.,09:00,0.6333999999999996
7 cont.,09:05,0.6133999999999996
7 cont.,09:10,0.5933999999999996
7 cont.,09:15,0.5733999999999996
7 cont.,09:20,0.5533999999999996
phi_CQ4,09:25,0.6813999999999996
CQ4,09:30,0.8413999999999996
CQ4,09:35,1.0
phi_CQ4,09:40,1.0
2 cont.,09:45,0.989
2 cont.,09:50,0.978
2 cont.,09:55,0.967
2 cont.,10:00,0.956
2 cont.,10:05,0.945
2 cont.,10:10,0.9339999999999999
2 cont.,10:15,0.9229999999999999
2 cont.,10:20,0.9119999999999999
2 cont.,10:25,0.9009999999999999
2 cont.,10:30,0.8899999999999999
2 cont.,10:35,0.8789999999999999
2 cont.,10:40,0.8679999999999999
2 cont.,10:45,0.8569999999999999
2 cont.,10:50,0.8459999999999999
Rebalancing,10:55,0.8156999999999999
Rebalancing,11:00,0.7853999999999999
cp_Bar1 cont.,11:05,0.7853999999999999
cp_Bar1 cont.,11:10,0.7853999999999999
cp_Bar1 cont.,11:15,0.7853999999999999
cp_Bar1 cont.,11:20,0.7853999999999999
cp_Bar1 cont.,11:25,0.7853999999999999
cp_Bar1 cont.,11:30,0.7853999999999999
