Time,Station,Wharf
06:05,Circular Quay,CQ1
06:34,Cockatoo Island,CI1
07:14,Circular Quay,CQ1
06:35,Circular Quay,CQ1
07:04,Cockatoo Island,CI1
07:44,Circular Quay,CQ2
07:05,Circular Quay,CQ1
07:34,Cockatoo Island,CI1
08:14,Circular Quay,CQ5
07:35,Circular Quay,CQ1
08:04,Cockatoo Island,CI1
08:44,Circular Quay,CQ1
08:05,Circular Quay,CQ1
08:34,Cockatoo Island,CI1
09:14,Circular Quay,CQ1
08:35,Circular Quay,CQ1
09:04,Cockatoo Island,CI1
09:44,Circular Quay,CQ1
09:05,Circular Quay,CQ1
09:34,Cockatoo Island,CI1
10:14,Circular Quay,CQ5
09:35,Circular Quay,CQ1
10:04,Cockatoo Island,CI1
10:44,Circular Quay,CQ2
