Time,Station,Wharf
06:10,Circular Quay,CQ4
06:39,Cockatoo Island,CI1
07:19,Circular Quay,CQ1
06:40,Circular Quay,CQ4
07:09,Cockatoo Island,CI1
07:49,Circular Quay,CQ1
07:10,Circular Quay,CQ4
07:39,Cockatoo Island,CI1
08:19,Circular Quay,CQ1
07:40,Circular Quay,CQ4
08:09,Cockatoo Island,CI1
08:49,Circular Quay,CQ1
08:10,Circular Quay,CQ4
08:39,Cockatoo Island,CI1
09:19,Circular Quay,CQ1
08:40,Circular Quay,CQ4
09:09,Cockatoo Island,CI1
09:49,Circular Quay,CQ1
09:10,Circular Quay,CQ4
09:39,Cockatoo Island,CI1
10:19,Circular Quay,CQ1
09:40,Circular Quay,CQ4
10:09,Cockatoo Island,CI1
10:49,Circular Quay,CQ1
