Time,Station,Wharf
06:15,Circular Quay,CQ3
06:34,Double Bay,DB1
07:02,Circular Quay,CQ1
06:45,Circular Quay,CQ3
07:04,Double Bay,DB1
07:32,Circular Quay,CQ2
07:15,Circular Quay,CQ3
07:34,Double Bay,DB1
08:02,Circular Quay,CQ4
07:45,Circular Quay,CQ3
08:04,Double Bay,DB1
08:32,Circular Quay,CQ4
08:15,Circular Quay,CQ3
08:34,Double Bay,DB1
09:02,Circular Quay,CQ2
08:45,Circular Quay,CQ3
09:04,Double Bay,DB1
09:32,Circular Quay,CQ2
09:15,Circular Quay,CQ3
09:34,Double Bay,DB1
10:02,Circular Quay,CQ4
09:45,Circular Quay,CQ3
10:04,Double Bay,DB1
10:32,Circular Quay,CQ1
10:15,Circular Quay,CQ3
10:34,Double Bay,DB1
11:02,Circular Quay,CQ3
