Variable,Value
"(1, 'CQ2NL', 1)",0
"(1, 'CQ2NL', 2)",0
"(1, 'CQ2NL', 3)",0
"(1, 'CQ2NL', 4)",0
"(1, 'CQ2NL', 5)",0
"(1, 'CQ2NL', 6)",0
"(1, 'CQ2NL', 7)",0
"(1, 'CQ2NL', 8)",0
"(1, 'CQ2NL', 9)",0
"(1, 'CQ2NL', 10)",0
"(1, 'CQ2NL', 11)",0
"(1, 'CQ2NL', 12)",0
"(1, 'CQ2NL', 13)",0
"(1, 'CQ2NL', 14)",0
"(1, 'CQ2NL', 15)",0
"(1, 'CQ2NL', 16)",0
"(1, 'CQ2NL', 17)",0
"(1, 'CQ2NL', 18)",0
"(1, 'CQ2NL', 19)",0
"(1, 'CQ2NL', 20)",0
"(1, 'CQ2NL', 21)",0
"(1, 'CQ2NL', 22)",0
"(1, 'CQ2NL', 23)",0
"(1, 'CQ2NL', 24)",0
"(1, 'CQ2NL', 25)",0
"(1, 'CQ2NL', 26)",0
"(1, 'CQ2NL', 27)",0
"(1, 'CQ2NL', 28)",0
"(1, 'CQ2NL', 29)",0
"(1, 'CQ2NL', 30)",0
"(1, 'CQ2NL', 31)",0
"(1, 'CQ2NL', 32)",0
"(1, 'CQ2NL', 33)",0
"(1, 'CQ2NL', 34)",0
"(1, 'CQ2NL', 35)",0
"(1, 'CQ2NL', 36)",0
"(1, 'CQ2NL', 37)",0
"(1, 'CQ2NL', 38)",0
"(1, 'CQ2NL', 39)",1
"(1, 'CQ2NL', 40)",0
"(1, 'CQ2NL', 41)",0
"(1, 'CQ2NL', 42)",0
"(1, 'CQ2NL', 43)",0
"(1, 'CQ2NL', 44)",0
"(1, 'CQ2NL', 45)",0
"(1, 'CQ2NL', 46)",0
"(1, 'CQ2NL', 47)",0
"(1, 'CQ2NL', 48)",0
"(1, 'CQ2NL', 49)",0
"(1, 'CQ2NL', 50)",0
"(1, 'CQ2NL', 51)",0
"(1, 'CQ2NL', 52)",0
"(1, 'CQ2NL', 53)",0
"(1, 'CQ2NL', 54)",0
"(1, 'CQ2NL', 55)",0
"(1, 'CQ2NL', 56)",0
"(1, 'CQ2NL', 57)",0
"(1, 'CQ2NL', 58)",0
"(1, 'CQ2NL', 59)",0
"(1, 'CQ2NL', 60)",0
"(1, 'CQ2NL', 61)",0
"(1, 'CQ2NL', 62)",0
"(1, 'CQ2NL', 63)",0
"(1, 'CQ2NL', 64)",0
"(1, 'CQ2NL', 65)",0
"(1, 'CQ2NL', 66)",0
"(1, 'CQ2NL', 67)",0
"(1, 'CQ2NL', 68)",0
"(1, 'CQ2NL', 69)",0
"(1, 'CQ2NL', 70)",0
"(1, 'CQ2NL', 71)",0
"(1, 'CQ2NL', 72)",0
"(1, 'CQ2', 1)",0
