Variable,Value
"(1, 'CQEXTRA1', 1)",0.0
"(1, 'CQEXTRA1', 2)",0.0
"(1, 'CQEXTRA1', 3)",0.0
"(1, 'CQEXTRA1', 4)",0.0
"(1, 'CQEXTRA1', 5)",0.0
"(1, 'CQEXTRA1', 6)",0.0
"(1, 'CQEXTRA1', 7)",0.0
"(1, 'CQEXTRA1', 8)",0.0
"(1, 'CQEXTRA1', 9)",0.0
"(1, 'CQEXTRA1', 10)",0.0
"(1, 'CQEXTRA1', 11)",0.0
"(1, 'CQEXTRA1', 12)",0.0
"(1, 'CQEXTRA1', 13)",0.0
"(1, 'CQEXTRA1', 14)",0.0
"(1, 'CQEXTRA1', 15)",0.0
"(1, 'CQEXTRA1', 16)",0.0
"(1, 'CQEXTRA1', 17)",0.0
"(1, 'CQEXTRA1', 18)",0.0
"(1, 'CQEXTRA1', 19)",0.0
"(1, 'CQEXTRA1', 20)",0.0
"(1, 'CQEXTRA1', 21)",0.0
"(1, 'CQEXTRA1', 22)",0.0
"(1, 'CQEXTRA1', 23)",0.0
"(1, 'CQEXTRA1', 24)",0.0
"(1, 'CQEXTRA1', 25)",0.0
"(1, 'CQEXTRA1', 26)",0.0
"(1, 'CQEXTRA1', 27)",0.0
"(1, 'CQEXTRA1', 28)",0.0
"(1, 'CQEXTRA1', 29)",0.0
"(1, 'CQEXTRA1', 30)",0.0
"(1, 'CQEXTRA1', 31)",0.0
"(1, 'CQEXTRA1', 32)",0.0
"(1, 'CQEXTRA1', 33)",0.0
"(1, 'CQEXTRA1', 34)",0.0
"(1, 'CQEXTRA1', 35)",0.0
"(1, 'CQEXTRA1', 36)",0.0
"(1, 'CQEXTRA1', 37)",0.0
"(1, 'CQEXTRA1', 38)",0.0
"(1, 'CQEXTRA1', 39)",0.0
"(1, 'CQEXTRA1', 40)",0.0
"(1, 'CQEXTRA1', 41)",0.0
"(1, 'CQEXTRA1', 42)",0.0
"(1, 'CQEXTRA1', 43)",0.0
"(1, 'CQEXTRA1', 44)",0.0
"(1, 'CQEXTRA1', 45)",0.0
