Variable,Value
"('V18', 1)",0.9697
"('V18', 2)",0.9697
"('V18', 3)",0.9697000000000005
"('V18', 4)",0.9697000000000005
"('V18', 5)",0.9629
"('V18', 6)",0.9629
"('V18', 7)",0.9326
"('V18', 8)",0.9023
"('V18', 9)",0.872
"('V18', 10)",1.0
"('V18', 11)",1.0
"('V18', 12)",0.9697
"('V18', 13)",1.0
"('V18', 14)",0.969700000000032
"('V18', 15)",0.939400000000032
"('V18', 16)",0.9326000000042955
"('V18', 17)",0.7509000000000002
"('V18', 18)",0.7206000000000002
"('V18', 19)",0.8486000000000002
"('V18', 20)",0.8406000000000002
"('V18', 21)",0.8326000000000002
"('V18', 22)",0.8246000000000002
"('V18', 23)",0.8166000000000002
"('V18', 24)",0.8086000000000002
"('V18', 25)",0.8006000000000002
"('V18', 26)",0.7926000000000002
"('V18', 27)",0.7846000000000002
"('V18', 28)",0.7766000000000002
"('V18', 29)",0.7686000000000002
"('V18', 30)",0.7606000000000002
"('V18', 31)",0.7526000000000002
"('V18', 32)",0.7446000000000002
"('V18', 33)",0.7366000000000001
"('V18', 34)",0.7286000000000001
"('V18', 35)",0.7206000000000001
"('V18', 36)",0.7126000000000001
"('V18', 37)",0.7046000000000001
"('V18', 38)",0.6966000000000001
"('V18', 39)",0.6886000000000001
"('V18', 40)",0.6806000000000001
"('V18', 41)",0.6726000000000001
"('V18', 42)",0.6646000000000001
"('V18', 43)",0.6566000000000001
"('V18', 44)",0.6486000000000001
"('V18', 45)",0.6406000000000001
"('V18', 46)",0.6326
"('V18', 47)",0.6246
"('V18', 48)",0.6166
"('V18', 49)",0.6086
"('V18', 50)",0.6006
"('V18', 51)",0.5926
"('V18', 52)",0.5846
"('V18', 53)",0.5766
"('V18', 54)",0.5686
"('V18', 55)",0.5606
"('V18', 56)",0.5303
"('V18', 57)",0.5
"('V18', 58)",0.628
"('V18', 59)",0.7053000000000005
"('V18', 60)",0.6817999999998946
"('V18', 61)",0.6514999999998946
"('V18', 62)",0.6211999999998946
"('V18', 63)",0.5908999999998946
"('V18', 64)",0.5908999999998945
"('V18', 65)",0.5605999999999334
"('V18', 66)",0.5302999999999678
"('V18', 67)",0.5
"('V18', 68)",0.5909
"('V18', 69)",0.5606
"('V18', 70)",0.5303
"('V18', 71)",0.5
"('V18', 72)",0.5
"('V19', 1)",0.9697
"('V19', 2)",0.9393999999999998
"('V19', 3)",1.0
"('V19', 4)",0.9697000000000288
"('V19', 5)",0.9394000000000644
"('V19', 6)",0.909100000000098
"('V19', 7)",0.909100000000128
"('V19', 8)",0.90910000000016
"('V19', 9)",0.9091000000001888
"('V19', 10)",0.9091000000002256
"('V19', 11)",0.8788000000002255
"('V19', 12)",0.8485000000002255
"('V19', 13)",0.9445999999999964
"('V19', 14)",0.9365999999999964
"('V19', 15)",0.9285999999999964
"('V19', 16)",0.9205999999999964
"('V19', 17)",0.9125999999999964
"('V19', 18)",0.9045999999999964
"('V19', 19)",0.8965999999999963
"('V19', 20)",0.8885999999999963
"('V19', 21)",0.8805999999999963
"('V19', 22)",0.8725999999999963
"('V19', 23)",0.8645999999999963
"('V19', 24)",0.8565999999999963
"('V19', 25)",0.8485999999999962
"('V19', 26)",0.8405999999999962
"('V19', 27)",0.8325999999999962
"('V19', 28)",0.8245999999999962
"('V19', 29)",0.8165999999999962
"('V19', 30)",0.8085999999999962
"('V19', 31)",0.8005999999999962
"('V19', 32)",0.7925999999999962
"('V19', 33)",0.7845999999999962
"('V19', 34)",0.7765999999999962
"('V19', 35)",0.7685999999999962
"('V19', 36)",0.7605999999999962
"('V19', 37)",0.7525999999999962
"('V19', 38)",0.7445999999999962
"('V19', 39)",0.7365999999999961
"('V19', 40)",0.7285999999999961
"('V19', 41)",0.7205999999999961
"('V19', 42)",0.7125999999999961
"('V19', 43)",0.7045999999999961
"('V19', 44)",0.6965999999999961
"('V19', 45)",0.6885999999999961
"('V19', 46)",0.6805999999999961
"('V19', 47)",0.6725999999999961
"('V19', 48)",0.6645999999999961
"('V19', 49)",0.6565999999999961
"('V19', 50)",0.6485999999999961
"('V19', 51)",0.6405999999999961
"('V19', 52)",0.632599999999996
"('V19', 53)",0.624599999999996
"('V19', 54)",0.616599999999996
"('V19', 55)",0.608599999999996
"('V19', 56)",0.600599999999996
"('V19', 57)",0.592599999999996
"('V19', 58)",0.584599999999996
"('V19', 59)",0.576599999999996
"('V19', 60)",0.568599999999996
"('V19', 61)",0.560599999999996
"('V19', 62)",0.530299999999996
"('V19', 63)",0.5
"('V19', 64)",0.5605999999999419
"('V19', 65)",0.5302999999999702
"('V19', 66)",0.5
"('V19', 67)",0.5
"('V19', 68)",0.5
"('V19', 69)",0.5
"('V19', 70)",0.5
"('V19', 71)",0.5
"('V19', 72)",0.5
"('V1', 1)",0.9394
"('V1', 2)",0.9394000000000016
"('V1', 3)",0.9394000000000146
"('V1', 4)",0.9394000000000284
"('V1', 5)",0.9394000000000668
"('V1', 6)",0.93940000000013
"('V1', 7)",0.9394000000001914
"('V1', 8)",0.8788000000002598
"('V1', 9)",0.818200000000334
"('V1', 10)",0.818200000000334
"('V1', 11)",0.757600000000334
"('V1', 12)",0.697000000000334
"('V1', 13)",0.825000000000334
"('V1', 14)",0.7802000000000003
"('V1', 15)",0.9082000000000002
"('V1', 16)",0.8476000000000002
"('V1', 17)",0.7870000000000003
"('V1', 18)",0.7800000000000002
"('V1', 19)",0.7730000000000002
"('V1', 20)",0.7660000000000002
"('V1', 21)",0.7590000000000002
"('V1', 22)",0.7520000000000002
"('V1', 23)",0.7450000000000002
"('V1', 24)",0.7380000000000002
"('V1', 25)",0.7310000000000002
"('V1', 26)",0.7240000000000002
"('V1', 27)",0.7170000000000002
"('V1', 28)",0.7100000000000002
"('V1', 29)",0.6960000000000002
"('V1', 30)",0.6820000000000002
"('V1', 31)",0.6680000000000001
"('V1', 32)",0.6540000000000001
"('V1', 33)",0.6400000000000001
"('V1', 34)",0.6260000000000001
"('V1', 35)",0.6120000000000001
"('V1', 36)",0.5980000000000001
"('V1', 37)",0.5840000000000001
"('V1', 38)",0.5700000000000001
"('V1', 39)",0.556
"('V1', 40)",0.542
"('V1', 41)",0.528
"('V1', 42)",0.514
"('V1', 43)",0.5
"('V1', 44)",0.628
"('V1', 45)",0.788
"('V1', 46)",0.66
"('V1', 47)",0.7120000000000691
"('V1', 48)",0.8720000000000692
"('V1', 49)",0.9932000000003304
"('V1', 50)",0.9326000000003304
"('V1', 51)",0.8720000000003304
"('V1', 52)",1.0
"('V1', 53)",0.9394000000000284
"('V1', 54)",0.8788000000000558
"('V1', 55)",0.8728000000000857
"('V1', 56)",0.8668000000001341
"('V1', 57)",0.8608000000001967
"('V1', 58)",0.8548000000002682
"('V1', 59)",0.8488000000003304
"('V1', 60)",0.7723999999991115
"('V1', 61)",0.7663999999991115
"('V1', 62)",0.760399999999206
"('V1', 63)",0.754399999999314
"('V1', 64)",0.7483999999994314
"('V1', 65)",0.7423999999995498
"('V1', 66)",0.6817999999996747
"('V1', 67)",0.6211999999998065
"('V1', 68)",0.6211999999999138
"('V1', 69)",0.6212
"('V1', 70)",0.5606
"('V1', 71)",0.5
"('V1', 72)",0.5
"('V2', 1)",0.9394
"('V2', 2)",0.939400000000001
"('V2', 3)",0.9394000000000138
"('V2', 4)",0.9394000000000232
"('V2', 5)",0.9394000000000232
"('V2', 6)",0.9394000000000232
"('V2', 7)",0.9394000000000278
"('V2', 8)",0.8788000000000724
"('V2', 9)",0.8182000000000995
"('V2', 10)",0.946200000000101
"('V2', 11)",0.9112000000001292
"('V2', 12)",0.876200000000134
"('V2', 13)",0.8412000000001688
"('V2', 14)",0.8062000000002217
"('V2', 15)",0.7712000000002883
"('V2', 16)",0.7362000000003568
"('V2', 17)",0.6756000000003891
"('V2', 18)",0.6150000000004205
"('V2', 19)",0.7430000000004245
"('V2', 20)",0.6824000000004281
"('V2', 21)",0.621800000000429
"('V2', 22)",0.7498000000004293
"('V2', 23)",0.7148000000004299
"('V2', 24)",0.6798000000004304
"('V2', 25)",0.6448000000004309
"('V2', 26)",0.6098000000004313
"('V2', 27)",0.5748000000004313
"('V2', 28)",0.5398000000004313
"('V2', 29)",0.6678000000004313
"('V2', 30)",0.6738000000004313
"('V2', 31)",0.6798000000004313
"('V2', 32)",0.6858000000004313
"('V2', 33)",0.6918000000004313
"('V2', 34)",0.6978000000004313
"('V2', 35)",0.7038000000004313
"('V2', 36)",0.7098000000004313
"('V2', 37)",0.7158000000004313
"('V2', 38)",0.6552000000004313
"('V2', 39)",0.5946000000004313
"('V2', 40)",0.7226000000004313
"('V2', 41)",0.6620000000004314
"('V2', 42)",0.6014000000004314
"('V2', 43)",0.5954000000004314
"('V2', 44)",0.5894000000004314
"('V2', 45)",0.5834000000004314
"('V2', 46)",0.5774000000004313
"('V2', 47)",0.5714000000004313
"('V2', 48)",0.5654000000004313
"('V2', 49)",0.5594000000004313
"('V2', 50)",0.5534000000004313
"('V2', 51)",0.5474000000004313
"('V2', 52)",0.5414000000004313
"('V2', 53)",0.5354000000004313
"('V2', 54)",0.5414000000004313
"('V2', 55)",0.5474000000004313
"('V2', 56)",0.5534000000004313
"('V2', 57)",0.5594000000004313
"('V2', 58)",0.5654000000004313
"('V2', 59)",0.5714000000004313
"('V2', 60)",0.5774000000004313
"('V2', 61)",0.5834000000004314
"('V2', 62)",0.7114000000004314
"('V2', 63)",0.6212
"('V2', 64)",0.5606
"('V2', 65)",0.5
"('V2', 66)",0.5
"('V2', 67)",0.6212
"('V2', 68)",0.5606
"('V2', 69)",0.5
"('V2', 70)",0.5606
"('V2', 71)",0.5
"('V2', 72)",0.5
"('V3', 1)",0.9394
"('V3', 2)",0.8787999999999998
"('V3', 3)",0.8788000000000125
"('V3', 4)",0.878800000000027
"('V3', 5)",0.8788000000000655
"('V3', 6)",0.8788000000001375
"('V3', 7)",0.8788000000002019
"('V3', 8)",0.8788000000002743
"('V3', 9)",0.8788000000003466
"('V3', 10)",0.8182000000004224
"('V3', 11)",0.7576000000004224
