Variable,Value
"('V18', 'CQEXTRA1', 1)",0.0
"('V18', 'CQ2', 1)",0.0
"('V18', 'CQEXTRA2', 1)",0.0
"('V18', 'CQ4', 1)",0.0
"('V18', 'CQ5', 1)",0.0
"('V18', 'CI1', 1)",0.0
"('V18', 'Bar1', 1)",0.0
"('V18', 'Bar2', 1)",0.0
"('V18', 'Bar4', 1)",0.0
"('V18', 'Bar5', 1)",0.0
"('V18', 'PB1', 1)",0.0
"('V18', 'Mos1', 1)",0.0
"('V18', 'TZ1', 1)",0.0
"('V18', 'WB1', 1)",0.0
"('V18', 'RB1', 1)",0.0
"('V18', 'DB1', 1)",0.0
"('V18', 'BSY1', 1)",0.0
"('V18', 'BSY2', 1)",0.0
"('V18', 'BSY3', 1)",0.0
"('V18', 'BSY4', 1)",0.0
"('V18', 'BSY5', 1)",0.0
"('V18', 'BSY6', 1)",0.0
"('V18', 'BWB1', 1)",0.0
"('V18', 'NB1', 1)",0.0
"('V18', 'CQEXTRA1', 2)",0.0
"('V18', 'CQ2', 2)",0.0
"('V18', 'CQEXTRA2', 2)",0.0
"('V18', 'CQ4', 2)",0.0
"('V18', 'CQ5', 2)",0.0
"('V18', 'CI1', 2)",0.0
"('V18', 'Bar1', 2)",0.0
"('V18', 'Bar2', 2)",0.0
"('V18', 'Bar4', 2)",0.0
"('V18', 'Bar5', 2)",0.0
"('V18', 'PB1', 2)",0.0
"('V18', 'Mos1', 2)",0.0
"('V18', 'TZ1', 2)",0.0
"('V18', 'WB1', 2)",0.0
"('V18', 'RB1', 2)",0.0
"('V18', 'DB1', 2)",0.0
"('V18', 'BSY1', 2)",1.0
"('V18', 'BSY2', 2)",0.0
"('V18', 'BSY3', 2)",0.0
"('V18', 'BSY4', 2)",0.0
"('V18', 'BSY5', 2)",0.0
"('V18', 'BSY6', 2)",0.0
"('V18', 'BWB1', 2)",0.0
"('V18', 'NB1', 2)",0.0
"('V18', 'CQEXTRA1', 3)",0.0
"('V18', 'CQ2', 3)",0.0
"('V18', 'CQEXTRA2', 3)",0.0
"('V18', 'CQ4', 3)",0.0
"('V18', 'CQ5', 3)",0.0
"('V18', 'CI1', 3)",0.0
"('V18', 'Bar1', 3)",0.0
"('V18', 'Bar2', 3)",0.0
"('V18', 'Bar4', 3)",0.0
"('V18', 'Bar5', 3)",0.0
"('V18', 'PB1', 3)",0.0
"('V18', 'Mos1', 3)",0.0
"('V18', 'TZ1', 3)",0.0
"('V18', 'WB1', 3)",0.0
"('V18', 'RB1', 3)",0.0
"('V18', 'DB1', 3)",0.0
"('V18', 'BSY1', 3)",0.0
"('V18', 'BSY2', 3)",0.0
"('V18', 'BSY3', 3)",0.0
"('V18', 'BSY4', 3)",0.0
"('V18', 'BSY5', 3)",0.0
"('V18', 'BSY6', 3)",0.0
"('V18', 'BWB1', 3)",0.0
"('V18', 'NB1', 3)",0.0
"('V18', 'CQEXTRA1', 4)",0.0
"('V18', 'CQ2', 4)",0.0
"('V18', 'CQEXTRA2', 4)",0.0
"('V18', 'CQ4', 4)",0.0
"('V18', 'CQ5', 4)",0.0
"('V18', 'CI1', 4)",0.0
"('V18', 'Bar1', 4)",0.0
"('V18', 'Bar2', 4)",0.0
"('V18', 'Bar4', 4)",0.0
"('V18', 'Bar5', 4)",0.0
"('V18', 'PB1', 4)",0.0
"('V18', 'Mos1', 4)",0.0
"('V18', 'TZ1', 4)",0.0
"('V18', 'WB1', 4)",0.0
"('V18', 'RB1', 4)",0.0
"('V18', 'DB1', 4)",0.0
"('V18', 'BSY1', 4)",0.0
"('V18', 'BSY2', 4)",0.0
"('V18', 'BSY3', 4)",0.0
"('V18', 'BSY4', 4)",0.0
"('V18', 'BSY5', 4)",0.0
"('V18', 'BSY6', 4)",0.0
"('V18', 'BWB1', 4)",0.0
"('V18', 'NB1', 4)",0.0
"('V18', 'CQEXTRA1', 5)",0.0
"('V18', 'CQ2', 5)",0.0
"('V18', 'CQEXTRA2', 5)",0.0
"('V18', 'CQ4', 5)",0.0
"('V18', 'CQ5', 5)",0.0
"('V18', 'CI1', 5)",1.0
"('V18', 'Bar1', 5)",0.0
"('V18', 'Bar2', 5)",0.0
"('V18', 'Bar4', 5)",0.0
"('V18', 'Bar5', 5)",0.0
"('V18', 'PB1', 5)",0.0
"('V18', 'Mos1', 5)",0.0
"('V18', 'TZ1', 5)",0.0
"('V18', 'WB1', 5)",0.0
"('V18', 'RB1', 5)",0.0
"('V18', 'DB1', 5)",0.0
"('V18', 'BSY1', 5)",0.0
"('V18', 'BSY2', 5)",0.0
"('V18', 'BSY3', 5)",0.0
"('V18', 'BSY4', 5)",0.0
"('V18', 'BSY5', 5)",0.0
"('V18', 'BSY6', 5)",0.0
"('V18', 'BWB1', 5)",0.0
"('V18', 'NB1', 5)",0.0
"('V18', 'CQEXTRA1', 6)",0.0
"('V18', 'CQ2', 6)",0.0
"('V18', 'CQEXTRA2', 6)",0.0
"('V18', 'CQ4', 6)",0.0
"('V18', 'CQ5', 6)",0.0
"('V18', 'CI1', 6)",0.0
"('V18', 'Bar1', 6)",0.0
"('V18', 'Bar2', 6)",0.0
"('V18', 'Bar4', 6)",0.0
"('V18', 'Bar5', 6)",0.0
"('V18', 'PB1', 6)",0.0
"('V18', 'Mos1', 6)",0.0
"('V18', 'TZ1', 6)",0.0
"('V18', 'WB1', 6)",0.0
"('V18', 'RB1', 6)",0.0
"('V18', 'DB1', 6)",0.0
"('V18', 'BSY1', 6)",0.0
"('V18', 'BSY2', 6)",0.0
"('V18', 'BSY3', 6)",0.0
"('V18', 'BSY4', 6)",0.0
"('V18', 'BSY5', 6)",0.0
"('V18', 'BSY6', 6)",0.0
"('V18', 'BWB1', 6)",0.0
"('V18', 'NB1', 6)",0.0
"('V18', 'CQEXTRA1', 7)",0.0
"('V18', 'CQ2', 7)",0.0
"('V18', 'CQEXTRA2', 7)",0.0
"('V18', 'CQ4', 7)",0.0
"('V18', 'CQ5', 7)",0.0
"('V18', 'CI1', 7)",0.0
"('V18', 'Bar1', 7)",0.0
"('V18', 'Bar2', 7)",0.0
"('V18', 'Bar4', 7)",0.0
"('V18', 'Bar5', 7)",0.0
"('V18', 'PB1', 7)",0.0
"('V18', 'Mos1', 7)",0.0
"('V18', 'TZ1', 7)",0.0
"('V18', 'WB1', 7)",0.0
"('V18', 'RB1', 7)",0.0
"('V18', 'DB1', 7)",0.0
"('V18', 'BSY1', 7)",0.0
"('V18', 'BSY2', 7)",0.0
"('V18', 'BSY3', 7)",0.0
"('V18', 'BSY4', 7)",0.0
"('V18', 'BSY5', 7)",0.0
"('V18', 'BSY6', 7)",0.0
"('V18', 'BWB1', 7)",0.0
"('V18', 'NB1', 7)",0.0
"('V18', 'CQEXTRA1', 8)",0.0
"('V18', 'CQ2', 8)",0.0
"('V18', 'CQEXTRA2', 8)",0.0
"('V18', 'CQ4', 8)",0.0
"('V18', 'CQ5', 8)",0.0
"('V18', 'CI1', 8)",0.0
"('V18', 'Bar1', 8)",0.0
"('V18', 'Bar2', 8)",0.0
"('V18', 'Bar4', 8)",0.0
"('V18', 'Bar5', 8)",0.0
"('V18', 'PB1', 8)",0.0
"('V18', 'Mos1', 8)",0.0
"('V18', 'TZ1', 8)",0.0
"('V18', 'WB1', 8)",0.0
"('V18', 'RB1', 8)",0.0
"('V18', 'DB1', 8)",0.0
"('V18', 'BSY1', 8)",0.0
"('V18', 'BSY2', 8)",0.0
"('V18', 'BSY3', 8)",1.0
"('V18', 'BSY4', 8)",0.0
"('V18', 'BSY5', 8)",0.0
"('V18', 'BSY6', 8)",0.0
"('V18', 'BWB1', 8)",0.0
"('V18', 'NB1', 8)",0.0
"('V18', 'CQEXTRA1', 9)",0.0
"('V18', 'CQ2', 9)",0.0
"('V18', 'CQEXTRA2', 9)",0.0
"('V18', 'CQ4', 9)",0.0
"('V18', 'CQ5', 9)",0.0
"('V18', 'CI1', 9)",0.0
"('V18', 'Bar1', 9)",0.0
"('V18', 'Bar2', 9)",0.0
"('V18', 'Bar4', 9)",0.0
"('V18', 'Bar5', 9)",0.0
"('V18', 'PB1', 9)",0.0
"('V18', 'Mos1', 9)",0.0
"('V18', 'TZ1', 9)",0.0
"('V18', 'WB1', 9)",0.0
"('V18', 'RB1', 9)",0.0
"('V18', 'DB1', 9)",0.0
"('V18', 'BSY1', 9)",0.0
"('V18', 'BSY2', 9)",0.0
"('V18', 'BSY3', 9)",0.0
"('V18', 'BSY4', 9)",0.0
"('V18', 'BSY5', 9)",0.0
"('V18', 'BSY6', 9)",0.0
"('V18', 'BWB1', 9)",0.0
"('V18', 'NB1', 9)",0.0
"('V18', 'CQEXTRA1', 10)",0.0
"('V18', 'CQ2', 10)",0.0
"('V18', 'CQEXTRA2', 10)",0.0
"('V18', 'CQ4', 10)",0.0
"('V18', 'CQ5', 10)",0.0
"('V18', 'CI1', 10)",0.0
"('V18', 'Bar1', 10)",0.0
"('V18', 'Bar2', 10)",0.0
"('V18', 'Bar4', 10)",0.0
"('V18', 'Bar5', 10)",0.0
"('V18', 'PB1', 10)",0.0
"('V18', 'Mos1', 10)",0.0
"('V18', 'TZ1', 10)",0.0
"('V18', 'WB1', 10)",0.0
"('V18', 'RB1', 10)",0.0
"('V18', 'DB1', 10)",0.0
"('V18', 'BSY1', 10)",0.0
"('V18', 'BSY2', 10)",0.0
"('V18', 'BSY3', 10)",0.0
"('V18', 'BSY4', 10)",0.0
"('V18', 'BSY5', 10)",0.0
"('V18', 'BSY6', 10)",0.0
"('V18', 'BWB1', 10)",0.0
"('V18', 'NB1', 10)",0.0
"('V18', 'CQEXTRA1', 11)",0.0
"('V18', 'CQ2', 11)",0.0
"('V18', 'CQEXTRA2', 11)",0.0
"('V18', 'CQ4', 11)",0.0
"('V18', 'CQ5', 11)",0.0
"('V18', 'CI1', 11)",0.0
"('V18', 'Bar1', 11)",0.0
"('V18', 'Bar2', 11)",1.0
"('V18', 'Bar4', 11)",0.0
"('V18', 'Bar5', 11)",0.0
"('V18', 'PB1', 11)",0.0
"('V18', 'Mos1', 11)",0.0
"('V18', 'TZ1', 11)",0.0
"('V18', 'WB1', 11)",0.0
"('V18', 'RB1', 11)",0.0
"('V18', 'DB1', 11)",0.0
"('V18', 'BSY1', 11)",0.0
"('V18', 'BSY2', 11)",0.0
"('V18', 'BSY3', 11)",0.0
"('V18', 'BSY4', 11)",0.0
"('V18', 'BSY5', 11)",0.0
"('V18', 'BSY6', 11)",0.0
"('V18', 'BWB1', 11)",0.0
"('V18', 'NB1', 11)",0.0
"('V18', 'CQEXTRA1', 12)",0.0
"('V18', 'CQ2', 12)",0.0
"('V18', 'CQEXTRA2', 12)",0.0
"('V18', 'CQ4', 12)",0.0
"('V18', 'CQ5', 12)",0.0
"('V18', 'CI1', 12)",0.0
"('V18', 'Bar1', 12)",0.0
"('V18', 'Bar2', 12)",1.0
"('V18', 'Bar4', 12)",0.0
"('V18', 'Bar5', 12)",0.0
"('V18', 'PB1', 12)",0.0
"('V18', 'Mos1', 12)",0.0
"('V18', 'TZ1', 12)",0.0
"('V18', 'WB1', 12)",0.0
"('V18', 'RB1', 12)",0.0
"('V18', 'DB1', 12)",0.0
"('V18', 'BSY1', 12)",0.0
"('V18', 'BSY2', 12)",0.0
"('V18', 'BSY3', 12)",0.0
"('V18', 'BSY4', 12)",0.0
"('V18', 'BSY5', 12)",0.0
"('V18', 'BSY6', 12)",0.0
"('V18', 'BWB1', 12)",0.0
"('V18', 'NB1', 12)",0.0
"('V18', 'CQEXTRA1', 13)",0.0
"('V18', 'CQ2', 13)",0.0
"('V18', 'CQEXTRA2', 13)",0.0
"('V18', 'CQ4', 13)",0.0
"('V18', 'CQ5', 13)",0.0
"('V18', 'CI1', 13)",0.0
"('V18', 'Bar1', 13)",0.0
"('V18', 'Bar2', 13)",1.0
"('V18', 'Bar4', 13)",0.0
"('V18', 'Bar5', 13)",0.0
"('V18', 'PB1', 13)",0.0
"('V18', 'Mos1', 13)",0.0
"('V18', 'TZ1', 13)",0.0
"('V18', 'WB1', 13)",0.0
"('V18', 'RB1', 13)",0.0
"('V18', 'DB1', 13)",0.0
"('V18', 'BSY1', 13)",0.0
"('V18', 'BSY2', 13)",0.0
"('V18', 'BSY3', 13)",0.0
"('V18', 'BSY4', 13)",0.0
"('V18', 'BSY5', 13)",0.0
"('V18', 'BSY6', 13)",0.0
"('V18', 'BWB1', 13)",0.0
"('V18', 'NB1', 13)",0.0
"('V18', 'CQEXTRA1', 14)",0.0
"('V18', 'CQ2', 14)",0.0
"('V18', 'CQEXTRA2', 14)",0.0
"('V18', 'CQ4', 14)",0.0
"('V18', 'CQ5', 14)",0.0
"('V18', 'CI1', 14)",0.0
"('V18', 'Bar1', 14)",0.0
"('V18', 'Bar2', 14)",1.0
"('V18', 'Bar4', 14)",0.0
"('V18', 'Bar5', 14)",0.0
"('V18', 'PB1', 14)",0.0
"('V18', 'Mos1', 14)",0.0
"('V18', 'TZ1', 14)",0.0
"('V18', 'WB1', 14)",0.0
"('V18', 'RB1', 14)",0.0
"('V18', 'DB1', 14)",0.0
"('V18', 'BSY1', 14)",0.0
"('V18', 'BSY2', 14)",0.0
"('V18', 'BSY3', 14)",0.0
"('V18', 'BSY4', 14)",0.0
"('V18', 'BSY5', 14)",0.0
"('V18', 'BSY6', 14)",0.0
"('V18', 'BWB1', 14)",0.0
"('V18', 'NB1', 14)",0.0
"('V18', 'CQEXTRA1', 15)",0.0
"('V18', 'CQ2', 15)",0.0
"('V18', 'CQEXTRA2', 15)",0.0
"('V18', 'CQ4', 15)",0.0
"('V18', 'CQ5', 15)",0.0
"('V18', 'CI1', 15)",0.0
"('V18', 'Bar1', 15)",0.0
"('V18', 'Bar2', 15)",1.0
"('V18', 'Bar4', 15)",0.0
"('V18', 'Bar5', 15)",0.0
"('V18', 'PB1', 15)",0.0
"('V18', 'Mos1', 15)",0.0
"('V18', 'TZ1', 15)",0.0
"('V18', 'WB1', 15)",0.0
"('V18', 'RB1', 15)",0.0
"('V18', 'DB1', 15)",0.0
"('V18', 'BSY1', 15)",0.0
"('V18', 'BSY2', 15)",0.0
"('V18', 'BSY3', 15)",0.0
"('V18', 'BSY4', 15)",0.0
"('V18', 'BSY5', 15)",0.0
"('V18', 'BSY6', 15)",0.0
"('V18', 'BWB1', 15)",0.0
"('V18', 'NB1', 15)",0.0
"('V18', 'CQEXTRA1', 16)",0.0
"('V18', 'CQ2', 16)",0.0
"('V18', 'CQEXTRA2', 16)",0.0
"('V18', 'CQ4', 16)",0.0
"('V18', 'CQ5', 16)",0.0
"('V18', 'CI1', 16)",0.0
"('V18', 'Bar1', 16)",0.0
"('V18', 'Bar2', 16)",1.0
"('V18', 'Bar4', 16)",0.0
"('V18', 'Bar5', 16)",0.0
"('V18', 'PB1', 16)",0.0
"('V18', 'Mos1', 16)",0.0
"('V18', 'TZ1', 16)",0.0
"('V18', 'WB1', 16)",0.0
"('V18', 'RB1', 16)",0.0
"('V18', 'DB1', 16)",0.0
"('V18', 'BSY1', 16)",0.0
"('V18', 'BSY2', 16)",0.0
"('V18', 'BSY3', 16)",0.0
"('V18', 'BSY4', 16)",0.0
"('V18', 'BSY5', 16)",0.0
"('V18', 'BSY6', 16)",0.0
"('V18', 'BWB1', 16)",0.0
"('V18', 'NB1', 16)",0.0
"('V18', 'CQEXTRA1', 17)",0.0
"('V18', 'CQ2', 17)",0.0
"('V18', 'CQEXTRA2', 17)",0.0
"('V18', 'CQ4', 17)",0.0
"('V18', 'CQ5', 17)",0.0
"('V18', 'CI1', 17)",0.0
"('V18', 'Bar1', 17)",0.0
"('V18', 'Bar2', 17)",1.0
"('V18', 'Bar4', 17)",0.0
"('V18', 'Bar5', 17)",0.0
"('V18', 'PB1', 17)",0.0
"('V18', 'Mos1', 17)",0.0
"('V18', 'TZ1', 17)",0.0
"('V18', 'WB1', 17)",0.0
"('V18', 'RB1', 17)",0.0
"('V18', 'DB1', 17)",0.0
"('V18', 'BSY1', 17)",0.0
"('V18', 'BSY2', 17)",0.0
"('V18', 'BSY3', 17)",0.0
"('V18', 'BSY4', 17)",0.0
"('V18', 'BSY5', 17)",0.0
"('V18', 'BSY6', 17)",0.0
"('V18', 'BWB1', 17)",0.0
"('V18', 'NB1', 17)",0.0
"('V18', 'CQEXTRA1', 18)",0.0
"('V18', 'CQ2', 18)",0.0
"('V18', 'CQEXTRA2', 18)",0.0
"('V18', 'CQ4', 18)",0.0
"('V18', 'CQ5', 18)",0.0
"('V18', 'CI1', 18)",0.0
"('V18', 'Bar1', 18)",0.0
"('V18', 'Bar2', 18)",0.0
"('V18', 'Bar4', 18)",0.0
"('V18', 'Bar5', 18)",0.0
"('V18', 'PB1', 18)",0.0
"('V18', 'Mos1', 18)",0.0
"('V18', 'TZ1', 18)",0.0
"('V18', 'WB1', 18)",0.0
"('V18', 'RB1', 18)",0.0
"('V18', 'DB1', 18)",0.0
"('V18', 'BSY1', 18)",0.0
"('V18', 'BSY2', 18)",0.0
"('V18', 'BSY3', 18)",0.0
"('V18', 'BSY4', 18)",0.0
"('V18', 'BSY5', 18)",0.0
"('V18', 'BSY6', 18)",0.0
"('V18', 'BWB1', 18)",0.0
"('V18', 'NB1', 18)",0.0
"('V18', 'CQEXTRA1', 19)",0.0
"('V18', 'CQ2', 19)",0.0
"('V18', 'CQEXTRA2', 19)",0.0
"('V18', 'CQ4', 19)",0.0
"('V18', 'CQ5', 19)",0.0
"('V18', 'CI1', 19)",0.0
"('V18', 'Bar1', 19)",0.0
"('V18', 'Bar2', 19)",0.0
"('V18', 'Bar4', 19)",0.0
"('V18', 'Bar5', 19)",0.0
"('V18', 'PB1', 19)",0.0
"('V18', 'Mos1', 19)",0.0
"('V18', 'TZ1', 19)",0.0
"('V18', 'WB1', 19)",0.0
"('V18', 'RB1', 19)",0.0
"('V18', 'DB1', 19)",0.0
"('V18', 'BSY1', 19)",0.0
"('V18', 'BSY2', 19)",0.0
"('V18', 'BSY3', 19)",0.0
"('V18', 'BSY4', 19)",0.0
"('V18', 'BSY5', 19)",0.0
"('V18', 'BSY6', 19)",0.0
"('V18', 'BWB1', 19)",0.0
"('V18', 'NB1', 19)",0.0
"('V18', 'CQEXTRA1', 20)",0.0
"('V18', 'CQ2', 20)",0.0
"('V18', 'CQEXTRA2', 20)",0.0
"('V18', 'CQ4', 20)",0.0
"('V18', 'CQ5', 20)",0.0
"('V18', 'CI1', 20)",0.0
"('V18', 'Bar1', 20)",0.0
"('V18', 'Bar2', 20)",0.0
"('V18', 'Bar4', 20)",0.0
"('V18', 'Bar5', 20)",0.0
"('V18', 'PB1', 20)",0.0
"('V18', 'Mos1', 20)",0.0
"('V18', 'TZ1', 20)",0.0
"('V18', 'WB1', 20)",0.0
"('V18', 'RB1', 20)",0.0
"('V18', 'DB1', 20)",0.0
"('V18', 'BSY1', 20)",0.0
"('V18', 'BSY2', 20)",0.0
"('V18', 'BSY3', 20)",0.0
"('V18', 'BSY4', 20)",0.0
"('V18', 'BSY5', 20)",0.0
"('V18', 'BSY6', 20)",0.0
"('V18', 'BWB1', 20)",0.0
"('V18', 'NB1', 20)",0.0
"('V18', 'CQEXTRA1', 21)",0.0
"('V18', 'CQ2', 21)",0.0
"('V18', 'CQEXTRA2', 21)",0.0
"('V18', 'CQ4', 21)",0.0
"('V18', 'CQ5', 21)",0.0
"('V18', 'CI1', 21)",0.0
"('V18', 'Bar1', 21)",0.0
"('V18', 'Bar2', 21)",0.0
"('V18', 'Bar4', 21)",0.0
"('V18', 'Bar5', 21)",0.0
"('V18', 'PB1', 21)",0.0
"('V18', 'Mos1', 21)",0.0
"('V18', 'TZ1', 21)",0.0
"('V18', 'WB1', 21)",0.0
"('V18', 'RB1', 21)",0.0
"('V18', 'DB1', 21)",0.0
"('V18', 'BSY1', 21)",0.0
"('V18', 'BSY2', 21)",0.0
"('V18', 'BSY3', 21)",0.0
"('V18', 'BSY4', 21)",0.0
"('V18', 'BSY5', 21)",0.0
"('V18', 'BSY6', 21)",0.0
"('V18', 'BWB1', 21)",1.0
"('V18', 'NB1', 21)",0.0
"('V18', 'CQEXTRA1', 22)",0.0
"('V18', 'CQ2', 22)",0.0
"('V18', 'CQEXTRA2', 22)",0.0
"('V18', 'CQ4', 22)",0.0
"('V18', 'CQ5', 22)",0.0
"('V18', 'CI1', 22)",0.0
"('V18', 'Bar1', 22)",0.0
"('V18', 'Bar2', 22)",0.0
"('V18', 'Bar4', 22)",0.0
"('V18', 'Bar5', 22)",0.0
"('V18', 'PB1', 22)",0.0
"('V18', 'Mos1', 22)",0.0
"('V18', 'TZ1', 22)",0.0
"('V18', 'WB1', 22)",0.0
"('V18', 'RB1', 22)",0.0
"('V18', 'DB1', 22)",0.0
"('V18', 'BSY1', 22)",0.0
"('V18', 'BSY2', 22)",0.0
"('V18', 'BSY3', 22)",0.0
"('V18', 'BSY4', 22)",0.0
"('V18', 'BSY5', 22)",0.0
"('V18', 'BSY6', 22)",0.0
"('V18', 'BWB1', 22)",1.0
"('V18', 'NB1', 22)",0.0
"('V18', 'CQEXTRA1', 23)",0.0
"('V18', 'CQ2', 23)",0.0
"('V18', 'CQEXTRA2', 23)",0.0
"('V18', 'CQ4', 23)",0.0
"('V18', 'CQ5', 23)",0.0
"('V18', 'CI1', 23)",0.0
"('V18', 'Bar1', 23)",0.0
"('V18', 'Bar2', 23)",0.0
"('V18', 'Bar4', 23)",0.0
"('V18', 'Bar5', 23)",0.0
"('V18', 'PB1', 23)",0.0
"('V18', 'Mos1', 23)",0.0
"('V18', 'TZ1', 23)",0.0
"('V18', 'WB1', 23)",0.0
"('V18', 'RB1', 23)",0.0
"('V18', 'DB1', 23)",0.0
"('V18', 'BSY1', 23)",0.0
"('V18', 'BSY2', 23)",0.0
"('V18', 'BSY3', 23)",0.0
"('V18', 'BSY4', 23)",0.0
"('V18', 'BSY5', 23)",0.0
"('V18', 'BSY6', 23)",0.0
"('V18', 'BWB1', 23)",1.0
"('V18', 'NB1', 23)",0.0
"('V18', 'CQEXTRA1', 24)",0.0
"('V18', 'CQ2', 24)",0.0
"('V18', 'CQEXTRA2', 24)",0.0
"('V18', 'CQ4', 24)",0.0
"('V18', 'CQ5', 24)",0.0
"('V18', 'CI1', 24)",0.0
"('V18', 'Bar1', 24)",0.0
"('V18', 'Bar2', 24)",0.0
"('V18', 'Bar4', 24)",0.0
"('V18', 'Bar5', 24)",0.0
"('V18', 'PB1', 24)",0.0
"('V18', 'Mos1', 24)",0.0
"('V18', 'TZ1', 24)",0.0
"('V18', 'WB1', 24)",0.0
"('V18', 'RB1', 24)",0.0
"('V18', 'DB1', 24)",0.0
"('V18', 'BSY1', 24)",0.0
"('V18', 'BSY2', 24)",0.0
"('V18', 'BSY3', 24)",0.0
"('V18', 'BSY4', 24)",0.0
"('V18', 'BSY5', 24)",0.0
"('V18', 'BSY6', 24)",0.0
"('V18', 'BWB1', 24)",0.0
"('V18', 'NB1', 24)",0.0
"('V18', 'CQEXTRA1', 25)",0.0
"('V18', 'CQ2', 25)",0.0
"('V18', 'CQEXTRA2', 25)",0.0
"('V18', 'CQ4', 25)",0.0
"('V18', 'CQ5', 25)",0.0
"('V18', 'CI1', 25)",0.0
"('V18', 'Bar1', 25)",0.0
"('V18', 'Bar2', 25)",0.0
"('V18', 'Bar4', 25)",0.0
"('V18', 'Bar5', 25)",0.0
"('V18', 'PB1', 25)",0.0
"('V18', 'Mos1', 25)",0.0
"('V18', 'TZ1', 25)",0.0
"('V18', 'WB1', 25)",0.0
"('V18', 'RB1', 25)",0.0
"('V18', 'DB1', 25)",0.0
