Vessel,Task,Start_Station,Start_Wharf,Start_Time,End_Station,End_Wharf,End_Time
V16,Waiting,Circular Quay,CQ2,05:40,Circular Quay,CQ2,05:45
V16,Charging,Circular Quay,CQ2,05:45,Circular Quay,CQ2,05:50
V16,Waiting,Circular Quay,CQ2,05:50,Circular Quay,CQ2,05:55
V16,Waiting,Circular Quay,CQ1,05:55,Circular Quay,CQ1,06:00
V16,2,Circular Quay,CQ1,06:00,Circular Quay,CQ1,07:15
V16,7,Circular Quay,CQ1,07:15,Circular Quay,CQ4,08:00
V16,2,Circular Quay,CQ1,08:00,Circular Quay,CQ1,09:15
V16,Crew pause,Circular Quay,CQ4,09:15,Circular Quay,CQ4,09:25
V16,8,Circular Quay,CQ1,09:25,Circular Quay,CQ1,10:40
V16,Crew pause,Circular Quay,CQ2,10:40,Circular Quay,CQ2,10:50
V16,Crew pause,Circular Quay,CQ4,10:50,Circular Quay,CQ4,11:00
V16,Crew pause,Circular Quay,CQ4,11:00,Circular Quay,CQ4,11:10
V16,Crew pause,Circular Quay,CQ4,11:10,Circular Quay,CQ4,11:20
V16,Crew pause,Circular Quay,CQ5,11:20,Circular Quay,CQ5,11:30
