Vessel,Task,Start_Station,Start_Wharf,Start_Time,End_Station,End_Wharf,End_Time
FF2,Waiting,Taronga Zoo,TZ1,05:40,Taronga Zoo,TZ1,05:45
FF2,Waiting,Circular Quay,CQ1,06:00,Circular Quay,CQ1,06:05
FF2,Waiting,Circular Quay,CQ1,06:05,Circular Quay,CQ1,06:10
FF2,Waiting,Circular Quay,CQ3,06:10,Circular Quay,CQ3,06:15
FF2,Waiting,Circular Quay,CQ1,06:15,Circular Quay,CQ1,06:20
FF2,Waiting,Circular Quay,CQ1,06:20,Circular Quay,CQ1,06:25
FF2,Waiting,Circular Quay,CQ4,06:25,Circular Quay,CQ4,06:30
FF2,8,Pyrmont Bay,PB1,06:45,Circular Quay,CQ4,07:17
FF2,Waiting,Circular Quay,CQ3,07:20,Circular Quay,CQ3,07:25
FF2,1,Circular Quay,CQ1,07:25,Mosman,Mos1,07:43
FF2,2,Mosman,Mos1,07:45,Circular Quay,CQ1,08:03
FF2,Waiting,Circular Quay,CQ3,08:05,Circular Quay,CQ3,08:10
FF2,Waiting,Circular Quay,CQ2,08:10,Circular Quay,CQ2,08:15
FF2,Waiting,Circular Quay,CQ5,08:15,Circular Quay,CQ5,08:20
FF2,Charging,Circular Quay,CQ5,08:20,Circular Quay,CQ5,08:25
FF2,Waiting,Circular Quay,CQ5,08:25,Circular Quay,CQ5,08:30
FF2,Waiting,Circular Quay,CQ5,08:30,Circular Quay,CQ5,08:35
FF2,Waiting,Circular Quay,CQ5,08:35,Circular Quay,CQ5,08:40
FF2,Waiting,Circular Quay,CQ5,08:40,Circular Quay,CQ5,08:45
FF2,Waiting,Circular Quay,CQ5,08:45,Circular Quay,CQ5,08:50
FF2,Waiting,Circular Quay,CQ2,08:50,Circular Quay,CQ2,08:55
FF2,Waiting,Circular Quay,CQ2,08:55,Circular Quay,CQ2,09:00
FF2,Waiting,Circular Quay,CQ5,09:00,Circular Quay,CQ5,09:05
FF2,Waiting,Circular Quay,CQ3,09:05,Circular Quay,CQ3,09:10
FF2,Waiting,Circular Quay,CQ3,09:10,Circular Quay,CQ3,09:15
FF2,Waiting,Circular Quay,CQ4,09:15,Circular Quay,CQ4,09:20
FF2,Waiting,Circular Quay,CQ3,09:20,Circular Quay,CQ3,09:25
FF2,Waiting,Circular Quay,CQ1,09:25,Circular Quay,CQ1,09:30
FF2,Waiting,Circular Quay,CQ3,09:30,Circular Quay,CQ3,09:35
FF2,Waiting,Circular Quay,CQ3,09:35,Circular Quay,CQ3,09:40
FF2,Waiting,Circular Quay,CQ1,09:40,Circular Quay,CQ1,09:45
FF2,Waiting,Circular Quay,CQ3,09:45,Circular Quay,CQ3,09:50
FF2,Waiting,Circular Quay,CQ3,09:50,Circular Quay,CQ3,09:55
FF2,Crew pause,Circular Quay,CQ3,09:55,Circular Quay,CQ3,10:04
FF2,Waiting,Circular Quay,CQ1,10:05,Circular Quay,CQ1,10:10
FF2,Waiting,Balmain Shipyard,BSY5,10:25,Balmain Shipyard,BSY5,10:30
FF2,Waiting,Circular Quay,CQ3,10:45,Circular Quay,CQ3,10:50
FF2,Waiting,Circular Quay,CQ5,10:50,Circular Quay,CQ5,10:55
FF2,Waiting,Circular Quay,CQ2,10:55,Circular Quay,CQ2,11:00
FF2,Waiting,Circular Quay,CQ2,11:00,Circular Quay,CQ2,11:05
FF2,Waiting,Circular Quay,CQ1,11:05,Circular Quay,CQ1,11:10
FF2,Crew pause,Circular Quay,CQ2,11:10,Circular Quay,CQ2,11:19
FF2,Waiting,Circular Quay,CQ4,11:20,Circular Quay,CQ4,11:25
FF2,Waiting,Circular Quay,CQ3,11:25,Circular Quay,CQ3,11:30
