Vessel,Task,Start_Station,Start_Wharf,Start_Time,End_Station,End_Wharf,End_Time
RR4,Waiting,Cockatoo Island,CI1,05:45,Cockatoo Island,CI1,05:50
RR4,Waiting,Cockatoo Island,CI1,05:50,Cockatoo Island,CI1,05:55
RR4,Waiting,Cockatoo Island,CI1,05:55,Cockatoo Island,CI1,06:00
RR4,Crew pause,Circular Quay,CQ4,06:15,Circular Quay,CQ4,06:24
RR4,Crew pause,Circular Quay,CQ4,06:25,Circular Quay,CQ4,06:34
RR4,Crew pause,Circular Quay,CQ4,06:35,Circular Quay,CQ4,06:44
RR4,16,Circular Quay,CQ1,06:50,Watsons Bay,WB1,07:20
RR4,Waiting,Watsons Bay,WB1,07:30,Watsons Bay,WB1,07:35
RR4,Crew pause,Circular Quay,CQ5,07:55,Circular Quay,CQ5,08:04
RR4,Crew pause,Barangaroo,Bar1,08:20,Barangaroo,Bar1,08:29
RR4,Waiting,Barangaroo,Bar4,08:30,Barangaroo,Bar4,08:35
RR4,Waiting,Barangaroo,Bar4,08:35,Barangaroo,Bar4,08:40
RR4,Crew pause,Balmain Shipyard,BSY6,08:50,Balmain Shipyard,BSY6,08:59
RR4,Waiting,Balmain Shipyard,BSY1,09:00,Balmain Shipyard,BSY1,09:05
RR4,Waiting,Balmain Shipyard,BSY1,09:05,Balmain Shipyard,BSY1,09:10
RR4,Waiting,Barangaroo,Bar2,09:20,Barangaroo,Bar2,09:25
RR4,Waiting,Barangaroo,Bar4,09:25,Barangaroo,Bar4,09:30
RR4,Waiting,Cockatoo Island,CI1,09:45,Cockatoo Island,CI1,09:50
RR4,Charging,Cockatoo Island,CI1,09:50,Cockatoo Island,CI1,09:55
RR4,Waiting,Cockatoo Island,CI1,09:55,Cockatoo Island,CI1,10:00
RR4,Waiting,Cockatoo Island,CI1,10:00,Cockatoo Island,CI1,10:05
RR4,Waiting,Cockatoo Island,CI1,10:05,Cockatoo Island,CI1,10:10
RR4,Waiting,Circular Quay,CQ4,10:25,Circular Quay,CQ4,10:30
RR4,Waiting,Circular Quay,CQ1,10:30,Circular Quay,CQ1,10:35
RR4,Waiting,Circular Quay,CQ1,10:35,Circular Quay,CQ1,10:40
RR4,Waiting,Circular Quay,CQ3,10:40,Circular Quay,CQ3,10:45
RR4,Waiting,Circular Quay,CQ3,10:45,Circular Quay,CQ3,10:50
RR4,Waiting,Circular Quay,CQ1,10:50,Circular Quay,CQ1,10:55
RR4,Waiting,Circular Quay,CQ2,10:55,Circular Quay,CQ2,11:00
RR4,Waiting,Circular Quay,CQ3,11:00,Circular Quay,CQ3,11:05
RR4,Waiting,Circular Quay,CQ5,11:05,Circular Quay,CQ5,11:10
RR4,Waiting,Balmain Shipyard,BSY2,11:25,Balmain Shipyard,BSY2,11:30
