Vessel,Task,Start_Station,Start_Wharf,Start_Time,End_Station,End_Wharf,End_Time
V8,Waiting,Barangaroo,Bar5,05:35,Barangaroo,Bar5,05:40
V8,Waiting,Barangaroo,Bar5,05:40,Barangaroo,Bar5,05:45
V8,Waiting,Barangaroo,Bar2,05:45,Barangaroo,Bar2,05:50
V8,Waiting,Barangaroo,Bar4,05:50,Barangaroo,Bar4,05:55
V8,Waiting,Barangaroo,Bar4,05:55,Barangaroo,Bar4,06:00
V8,Crew Break,Barangaroo,Bar5,06:00,Barangaroo,Bar5,06:30
V8,Waiting,Circular Quay,CQ3,06:40,Circular Quay,CQ3,06:45
V8,Waiting,Circular Quay,CQ4,06:45,Circular Quay,CQ4,06:50
V8,Waiting,Circular Quay,CQ3,06:50,Circular Quay,CQ3,06:55
V8,F2 - Zoo/Mosman (Peak),Circular Quay,CQ2,06:55,Circular Quay,CQ4,07:47
V8,Waiting,Circular Quay,CQ2,07:50,Circular Quay,CQ2,07:55
V8,F7 - Double Bay,Circular Quay,CQ3,07:55,Circular Quay,CQ4,08:45
V8,F5 - Neutral Bay,Circular Quay,CQ5,08:45,Circular Quay,CQ2,09:15
V8,Waiting,Circular Quay,CQ1,09:15,Circular Quay,CQ1,09:20
V8,Waiting,Circular Quay,CQ1,09:20,Circular Quay,CQ1,09:25
V8,F6 - Mosman (off peak),Circular Quay,CQ2,09:25,Circular Quay,CQ2,10:19
V8,Waiting,Circular Quay,CQ5,10:20,Circular Quay,CQ5,10:25
V8,Waiting,Circular Quay,CQ4,10:25,Circular Quay,CQ4,10:30
V8,Waiting,Circular Quay,CQ5,10:30,Circular Quay,CQ5,10:35
V8,Waiting,Circular Quay,CQ3,10:35,Circular Quay,CQ3,10:40
V8,Waiting,Circular Quay,CQ5,10:40,Circular Quay,CQ5,10:45
V8,Waiting,Circular Quay,CQ2,10:45,Circular Quay,CQ2,10:50
V8,Waiting,Circular Quay,CQ5,10:50,Circular Quay,CQ5,10:55
V8,Waiting,Circular Quay,CQ3,10:55,Circular Quay,CQ3,11:00
V8,Crew Break,Circular Quay,CQ3,11:00,Circular Quay,CQ3,11:30
