Vessel,Task,Wharf,Time
V14,Crew pause,CQ3,05:40-05:45
V16,Waiting,CQ3,05:40-05:45
V14,Crew pause,CQ3,05:45-05:50
V1,Crew pause,CQ3,05:50-05:55
V1,Crew pause,CQ3,05:55-06:00
V6,Crew pause,CQ3,06:00-06:05
V11,Waiting,CQ3,06:05-06:10
V6,Crew pause,CQ3,06:05-06:10
V4,Crew pause,CQ3,06:10-06:15
V15,Waiting,CQ3,06:15-06:20
V4,Crew pause,CQ3,06:15-06:20
V8,Waiting,CQ3,06:20-06:25
V13,Waiting,CQ3,06:30-06:35
V13,Waiting,CQ3,06:40-06:45
V13,Crew pause,CQ3,06:45-06:50
V13,Crew pause,CQ3,06:50-06:55
V6,5,CQ3,07:05-07:10
V6,5,CQ3,07:10-07:15
V1,Crew pause,CQ3,07:10-07:15
V1,Crew pause,CQ3,07:15-07:20
V1,Waiting,CQ3,07:20-07:25
V1,Waiting,CQ3,07:25-07:30
V15,2,CQ3,07:30-07:35
V7,3,CQ3,07:40-07:45
V4,Waiting,CQ3,07:45-07:50
V15,2,CQ3,07:45-07:50
V2,6,CQ3,08:00-08:05
V9,Waiting,CQ3,08:00-08:05
V2,6,CQ3,08:05-08:10
V2,6,CQ3,08:10-08:15
V2,Waiting,CQ3,08:30-08:35
V3,Waiting,CQ3,08:50-08:55
V4,6,CQ3,09:00-09:05
V4,6,CQ3,09:05-09:10
V4,Waiting,CQ3,09:10-09:15
V4,6,CQ3,09:10-09:15
V14,Waiting,CQ3,09:20-09:25
V1,4,CQ3,09:25-09:30
V1,4,CQ3,09:30-09:35
V3,3,CQ3,09:40-09:45
V11,1,CQ3,09:40-09:45
V11,1,CQ3,09:45-09:50
V11,1,CQ3,09:50-09:55
V5,Waiting,CQ3,09:55-10:00
V9,6,CQ3,10:00-10:05
V9,6,CQ3,10:05-10:10
V14,Waiting,CQ3,10:05-10:10
V9,6,CQ3,10:10-10:15
V9,Waiting,CQ3,10:10-10:15
V1,Waiting,CQ3,10:25-10:30
V8,Waiting,CQ3,10:30-10:35
V17,Waiting,CQ3,10:30-10:35
V3,5,CQ3,10:35-10:40
V3,5,CQ3,10:40-10:45
V3,Waiting,CQ3,10:40-10:45
V15,2,CQ3,10:50-10:55
V2,Crew pause,CQ3,10:50-10:55
V2,Crew pause,CQ3,10:55-11:00
V6,Crew pause,CQ3,11:00-11:05
V4,Waiting,CQ3,11:00-11:05
V6,Crew pause,CQ3,11:05-11:10
V9,5,CQ3,11:05-11:10
V15,Waiting,CQ3,11:10-11:15
V9,5,CQ3,11:10-11:15
V16,Waiting,CQ3,11:15-11:20
V5,Waiting,CQ3,11:15-11:20
V2,Waiting,CQ3,11:20-11:25
V4,Crew pause,CQ3,11:20-11:25
V2,Waiting,CQ3,11:25-11:30
V4,Crew pause,CQ3,11:25-11:30
