Vessel,Task,Wharf,Time
RR1,Crew pause,CQ2,05:40-05:45
RR1,Crew pause,CQ2,05:45-05:50
RR1,Crew pause,CQ2,06:30-06:35
RR1,Crew pause,CQ2,06:35-06:40
24M,Waiting,CQ2,06:50-06:55
RR10,17,CQ2,06:55-07:00
RR10,17,CQ2,07:00-07:05
RR10,17,CQ2,07:05-07:10
RR3,Waiting,CQ2,07:10-07:15
EC1,15,CQ2,07:30-07:35
EC1,15,CQ2,07:35-07:40
RR4,Crew pause,CQ2,07:35-07:40
RR4,Crew pause,CQ2,07:40-07:45
EC1,Waiting,CQ2,07:40-07:45
RR7,17,CQ2,07:45-07:50
RR12,Waiting,CQ2,07:45-07:50
RR7,17,CQ2,07:50-07:55
RR7,17,CQ2,07:55-08:00
EC4,15,CQ2,08:05-08:10
EC4,15,CQ2,08:10-08:15
RR10,13,CQ2,08:15-08:20
RR10,13,CQ2,08:20-08:25
RR3,Waiting,CQ2,08:25-08:30
RR3,Charging,CQ2,08:30-08:35
RR3,Charging,CQ2,08:35-08:40
RR3,Waiting,CQ2,08:40-08:45
24M,Waiting,CQ2,08:45-08:50
24M,Charging,CQ2,08:50-08:55
24M,Charging,CQ2,08:55-09:00
24M,Charging,CQ2,09:00-09:05
24M,Charging,CQ2,09:05-09:10
24M,Charging,CQ2,09:10-09:15
24M,Charging,CQ2,09:15-09:20
FF1,Waiting,CQ2,09:15-09:20
RR8,Crew pause,CQ2,09:20-09:25
24M,Charging,CQ2,09:20-09:25
24M,Charging,CQ2,09:25-09:30
RR8,Crew pause,CQ2,09:25-09:30
24M,Charging,CQ2,09:30-09:35
24M,Charging,CQ2,09:35-09:40
RR3,Waiting,CQ2,09:40-09:45
24M,Waiting,CQ2,09:40-09:45
FF3,Crew pause,CQ2,09:45-09:50
RR9,Crew pause,CQ2,09:45-09:50
RR9,Crew pause,CQ2,09:50-09:55
FF3,Crew pause,CQ2,09:50-09:55
RR3,Crew pause,CQ2,10:00-10:05
24M,Crew pause,CQ2,10:00-10:05
RR3,Crew pause,CQ2,10:05-10:10
24M,Crew pause,CQ2,10:05-10:10
EC2,Crew pause,CQ2,10:10-10:15
RR10,Waiting,CQ2,10:10-10:15
EC2,Crew pause,CQ2,10:15-10:20
RR5,Crew pause,CQ2,10:20-10:25
RR3,Waiting,CQ2,10:20-10:25
RR5,Crew pause,CQ2,10:25-10:30
RR8,Crew pause,CQ2,10:25-10:30
RR8,Crew pause,CQ2,10:30-10:35
RR3,Crew pause,CQ2,10:30-10:35
RR3,Crew pause,CQ2,10:35-10:40
24M,Waiting,CQ2,10:40-10:45
RR3,Waiting,CQ2,10:40-10:45
FF8,Waiting,CQ2,10:45-10:50
EC2,Crew pause,CQ2,10:50-10:55
RR1,Waiting,CQ2,10:50-10:55
FF8,Crew pause,CQ2,10:55-11:00
EC2,Crew pause,CQ2,10:55-11:00
FF8,Crew pause,CQ2,11:00-11:05
RR3,Crew pause,CQ2,11:00-11:05
RR3,Crew pause,CQ2,11:05-11:10
RR3,Crew pause,CQ2,11:10-11:15
RR1,Crew pause,CQ2,11:10-11:15
RR3,Crew pause,CQ2,11:15-11:20
RR1,Crew pause,CQ2,11:15-11:20
RR3,Waiting,CQ2,11:20-11:25
FF6,Waiting,CQ2,11:20-11:25
FF4,Waiting,CQ2,11:25-11:30
24M,Waiting,CQ2,11:25-11:30
