Vessel,Task,Wharf,Time
V4,Waiting,Mos1,05:40-05:45
V4,Waiting,Mos1,05:45-05:50
V4,Waiting,Mos1,05:50-05:55
V4,Waiting,Mos1,05:55-06:00
V9,F6 - Mosman,Mos1,06:20-06:25
V9,F6 - Mosman,Mos1,06:25-06:30
V5,F6 - Mosman,Mos1,06:50-06:55
V5,F6 - Mosman,Mos1,06:55-07:00
V7,F6 - Mosman,Mos1,07:20-07:25
V7,F6 - Mosman,Mos1,07:25-07:30
V5,F6 - Mosman,Mos1,07:50-07:55
V5,F6 - Mosman,Mos1,07:55-08:00
V11,F6 - Mosman,Mos1,08:20-08:25
V11,F6 - Mosman,Mos1,08:25-08:30
V9,F6 - Mosman,Mos1,08:50-08:55
V9,F6 - Mosman,Mos1,08:55-09:00
V11,F6 - Mosman,Mos1,09:20-09:25
V11,F6 - Mosman,Mos1,09:25-09:30
V9,F6 - Mosman,Mos1,09:50-09:55
V9,F6 - Mosman,Mos1,09:55-10:00
V11,F6 - Mosman,Mos1,10:20-10:25
V11,F6 - Mosman,Mos1,10:25-10:30
