Vessel,Task,Wharf,Time
V10,Waiting,Bar2,05:35-05:40
V4,Waiting,Bar2,05:35-05:40
V10,Waiting,Bar2,05:40-05:45
V10,Crew pause,Bar2,05:45-05:50
V10,Crew pause,Bar2,05:50-05:55
V6,Waiting,Bar2,05:50-05:55
V10,Crew pause,Bar2,05:55-06:00
V10,Crew pause,Bar2,06:00-06:05
V19,Waiting,Bar2,06:05-06:10
V10,Crew pause,Bar2,06:05-06:10
V19,Waiting,Bar2,06:10-06:15
V10,Crew pause,Bar2,06:10-06:15
V18,Waiting,Bar2,07:15-07:20
V18,Waiting,Bar2,07:20-07:25
V19,Waiting,Bar2,07:35-07:40
V18,Waiting,Bar2,08:15-08:20
V18,Waiting,Bar2,08:20-08:25
V19,Waiting,Bar2,08:35-08:40
V19,Waiting,Bar2,08:50-08:55
V18,Waiting,Bar2,09:15-09:20
V18,Waiting,Bar2,09:20-09:25
V6,Crew pause,Bar2,10:00-10:05
V19,Waiting,Bar2,10:05-10:10
V6,Crew pause,Bar2,10:05-10:10
V6,Crew pause,Bar2,10:10-10:15
V19,Charging,Bar2,10:10-10:15
V19,Waiting,Bar2,10:15-10:20
V6,Crew pause,Bar2,10:15-10:20
V6,Crew pause,Bar2,10:20-10:25
V6,Crew pause,Bar2,10:25-10:30
V18,Waiting,Bar2,10:45-10:50
V18,Waiting,Bar2,10:50-10:55
V18,Waiting,Bar2,10:55-11:00
V10,Crew pause,Bar2,11:00-11:05
V18,Crew pause,Bar2,11:00-11:05
V10,Crew pause,Bar2,11:05-11:10
V18,Crew pause,Bar2,11:05-11:10
V18,Crew pause,Bar2,11:10-11:15
V10,Crew pause,Bar2,11:10-11:15
V18,Crew pause,Bar2,11:15-11:20
V10,Crew pause,Bar2,11:15-11:20
V10,Crew pause,Bar2,11:20-11:25
V18,Crew pause,Bar2,11:20-11:25
V18,Crew pause,Bar2,11:25-11:30
V10,Crew pause,Bar2,11:25-11:30
