Vessel,Task,Wharf,Time
V5,Waiting,DB1,05:40-05:45
V6,F7 - Double Bay,DB1,06:35-06:40
V6,F7 - Double Bay,DB1,06:40-06:45
V7,F7 - Double Bay,DB1,07:05-07:10
V7,F7 - Double Bay,DB1,07:10-07:15
V8,F7 - Double Bay,DB1,07:35-07:40
V8,F7 - Double Bay,DB1,07:40-07:45
V9,F7 - Double Bay,DB1,08:05-08:10
V9,F7 - Double Bay,DB1,08:10-08:15
V10,F7 - Double Bay,DB1,08:35-08:40
V10,F7 - Double Bay,DB1,08:40-08:45
V11,F7 - Double Bay,DB1,09:05-09:10
V11,F7 - Double Bay,DB1,09:10-09:15
V1,F7 - Double Bay,DB1,09:35-09:40
V1,F7 - Double Bay,DB1,09:40-09:45
V2,F7 - Double Bay,DB1,10:05-10:10
V2,F7 - Double Bay,DB1,10:10-10:15
V3,F7 - Double Bay,DB1,10:35-10:40
V3,F7 - Double Bay,DB1,10:40-10:45
V12,Waiting,DB1,10:50-10:55
V12,Waiting,DB1,10:55-11:00
V12,Waiting,DB1,11:00-11:05
V12,Waiting,DB1,11:05-11:10
V12,Waiting,DB1,11:10-11:15
V12,Waiting,DB1,11:15-11:20
V12,Waiting,DB1,11:20-11:25
V12,Waiting,DB1,11:25-11:30
