Vessel,Task,Wharf,Time
V11,Waiting,CI1,05:35-05:40
V10,Waiting,CI1,05:40-05:45
V9,Waiting,CI1,05:40-05:45
V10,Waiting,CI1,05:45-05:50
V19,Waiting,CI1,05:50-05:55
V10,Waiting,CI1,05:50-05:55
V4,6,CI1,06:40-06:45
V4,6,CI1,06:45-06:50
V4,6,CI1,06:50-06:55
V5,6,CI1,07:10-07:15
V5,6,CI1,07:15-07:20
V5,6,CI1,07:20-07:25
V6,6,CI1,07:40-07:45
V2,Waiting,CI1,07:45-07:50
V6,6,CI1,07:45-07:50
V6,6,CI1,07:50-07:55
V7,6,CI1,08:10-08:15
V7,6,CI1,08:15-08:20
V7,6,CI1,08:20-08:25
V8,6,CI1,08:40-08:45
V8,6,CI1,08:45-08:50
V8,6,CI1,08:50-08:55
V9,6,CI1,09:10-09:15
V9,6,CI1,09:15-09:20
V5,Waiting,CI1,09:15-09:20
V9,6,CI1,09:20-09:25
V10,6,CI1,09:40-09:45
V10,6,CI1,09:45-09:50
V10,6,CI1,09:50-09:55
V19,Waiting,CI1,10:10-10:15
V11,6,CI1,10:10-10:15
V19,Waiting,CI1,10:15-10:20
V11,6,CI1,10:15-10:20
V11,6,CI1,10:20-10:25
V19,Waiting,CI1,10:20-10:25
V2,Waiting,CI1,10:55-11:00
V1,Waiting,CI1,10:55-11:00
V19,Waiting,CI1,11:00-11:05
V6,Waiting,CI1,11:05-11:10
V7,Waiting,CI1,11:05-11:10
V10,Waiting,CI1,11:15-11:20
V10,Waiting,CI1,11:20-11:25
V10,Waiting,CI1,11:25-11:30
V12,Waiting,CI1,11:25-11:30
