Vessel,Task,Wharf,Time
V9,Waiting,BSY1,05:40-05:45
V1,Waiting,BSY1,06:35-06:40
V1,Waiting,BSY1,06:40-06:45
V1,Waiting,BSY1,06:45-06:50
V1,Crew pause,BSY1,07:25-07:30
V1,Crew pause,BSY1,07:30-07:35
V1,Crew pause,BSY1,07:35-07:40
V1,Crew pause,BSY1,07:40-07:45
V1,Crew pause,BSY1,07:45-07:50
V1,Crew pause,BSY1,07:50-07:55
V1,Crew pause,BSY1,09:00-09:05
V1,Crew pause,BSY1,09:05-09:10
V1,Crew pause,BSY1,09:10-09:15
V1,Crew pause,BSY1,09:15-09:20
V1,Crew pause,BSY1,09:20-09:25
V1,Crew pause,BSY1,09:25-09:30
V1,Crew pause,BSY1,09:30-09:35
V1,Crew pause,BSY1,09:35-09:40
V1,Crew pause,BSY1,09:40-09:45
V1,Crew pause,BSY1,09:45-09:50
V1,Crew pause,BSY1,09:50-09:55
V1,Crew pause,BSY1,09:55-10:00
V1,Waiting,BSY1,10:00-10:05
