Vessel,Task,Wharf,Time
V4,F8 - Cockatoo Island,CI1,06:40-06:45
V4,F8 - Cockatoo Island,CI1,06:45-06:50
V5,F8 - Cockatoo Island,CI1,07:10-07:15
V5,F8 - Cockatoo Island,CI1,07:15-07:20
V6,F8 - Cockatoo Island,CI1,07:40-07:45
V6,F8 - Cockatoo Island,CI1,07:45-07:50
V7,F8 - Cockatoo Island,CI1,08:10-08:15
V7,F8 - Cockatoo Island,CI1,08:15-08:20
V8,F8 - Cockatoo Island,CI1,08:40-08:45
V8,F8 - Cockatoo Island,CI1,08:45-08:50
V9,F8 - Cockatoo Island,CI1,09:10-09:15
V9,F8 - Cockatoo Island,CI1,09:15-09:20
V10,F8 - Cockatoo Island,CI1,09:40-09:45
V10,F8 - Cockatoo Island,CI1,09:45-09:50
V11,F8 - Cockatoo Island,CI1,10:10-10:15
V11,F8 - Cockatoo Island,CI1,10:15-10:20
V5,Waiting,CI1,10:55-11:00
V5,Waiting,CI1,11:00-11:05
V5,Waiting,CI1,11:05-11:10
V5,Waiting,CI1,11:10-11:15
V5,Waiting,CI1,11:15-11:20
V5,Waiting,CI1,11:20-11:25
V5,Waiting,CI1,11:25-11:30
