Vessel,Task,Wharf,Time
V11,Waiting,CQ5,05:40-05:45
V11,Waiting,CQ5,05:45-05:50
V6,Waiting,CQ5,05:50-05:55
V15,Waiting,CQ5,05:55-06:00
V6,Waiting,CQ5,05:55-06:00
V4,Waiting,CQ5,06:00-06:05
V6,Waiting,CQ5,06:05-06:10
V5,Waiting,CQ5,06:20-06:25
V8,Waiting,CQ5,06:25-06:30
V8,Waiting,CQ5,06:30-06:35
V16,Waiting,CQ5,06:45-06:50
V11,Waiting,CQ5,06:55-07:00
V15,F4 - Pyrmont Bay,CQ5,07:05-07:10
V11,Waiting,CQ5,07:20-07:25
V10,Waiting,CQ5,07:30-07:35
V11,Waiting,CQ5,07:55-08:00
V3,Waiting,CQ5,07:55-08:00
V3,Waiting,CQ5,08:00-08:05
V12,F9 - Rose Bay,CQ5,08:15-08:20
V4,F5 - Neutral Bay,CQ5,08:25-08:30
V16,Waiting,CQ5,08:50-08:55
V5,F6 - Mosman,CQ5,08:55-09:00
V13,F9 - Rose Bay,CQ5,08:55-09:00
V2,Waiting,CQ5,09:00-09:05
V10,F7 - Double Bay,CQ5,09:05-09:10
V4,Waiting,CQ5,09:15-09:20
V8,F8 - Cockatoo Island,CQ5,09:20-09:25
V6,F6 - Mosman,CQ5,09:25-09:30
V5,Waiting,CQ5,09:45-09:50
V4,Waiting,CQ5,09:55-10:00
V3,Waiting,CQ5,10:10-10:15
V6,F2 - Taronga Zoo,CQ5,10:15-10:20
V13,Waiting,CQ5,10:20-10:25
V13,Waiting,CQ5,10:30-10:35
V7,Waiting,CQ5,10:35-10:40
V13,Waiting,CQ5,10:40-10:45
V6,Crew pause,CQ5,10:55-11:00
V6,Crew pause,CQ5,11:00-11:05
V6,Crew pause,CQ5,11:05-11:10
V6,Crew pause,CQ5,11:10-11:15
V4,Waiting,CQ5,11:10-11:15
V15,Waiting,CQ5,11:15-11:20
V6,Crew pause,CQ5,11:15-11:20
V15,Waiting,CQ5,11:20-11:25
V6,Crew pause,CQ5,11:20-11:25
V3,Waiting,CQ5,11:25-11:30
V4,Waiting,CQ5,11:25-11:30
