Vessel,Task,Wharf,Time
V19,Waiting,PB1,05:30-05:35
V19,Waiting,PB1,05:35-05:40
V7,Waiting,PB1,05:40-05:45
V17,F4 - Pyrmont Bay,PB1,06:30-06:35
V17,F4 - Pyrmont Bay,PB1,06:35-06:40
V14,F4 - Pyrmont Bay,PB1,06:50-06:55
V14,F4 - Pyrmont Bay,PB1,06:55-07:00
V16,F4 - Pyrmont Bay,PB1,07:10-07:15
V16,F4 - Pyrmont Bay,PB1,07:15-07:20
V13,F4 - Pyrmont Bay,PB1,07:30-07:35
V13,F4 - Pyrmont Bay,PB1,07:35-07:40
V12,F4 - Pyrmont Bay,PB1,07:50-07:55
V12,F4 - Pyrmont Bay,PB1,07:55-08:00
V15,F4 - Pyrmont Bay,PB1,08:10-08:15
V15,F4 - Pyrmont Bay,PB1,08:15-08:20
V17,F4 - Pyrmont Bay,PB1,08:30-08:35
V17,F4 - Pyrmont Bay,PB1,08:35-08:40
V14,F4 - Pyrmont Bay,PB1,08:50-08:55
V14,F4 - Pyrmont Bay,PB1,08:55-09:00
V16,F4 - Pyrmont Bay,PB1,09:10-09:15
V16,F4 - Pyrmont Bay,PB1,09:15-09:20
V17,F4 - Pyrmont Bay,PB1,09:40-09:45
V17,F4 - Pyrmont Bay,PB1,09:45-09:50
V14,F4 - Pyrmont Bay,PB1,10:10-10:15
V14,F4 - Pyrmont Bay,PB1,10:15-10:20
V17,Waiting,PB1,11:25-11:30
