Vessel,Task,Wharf,Time
V3,Crew pause,BSY3,05:45-05:50
V3,Crew pause,BSY3,05:50-05:55
V3,Crew pause,BSY3,05:55-06:00
V3,Crew pause,BSY3,06:00-06:05
V3,Crew pause,BSY3,06:05-06:10
V3,Crew pause,BSY3,06:10-06:15
V3,Crew pause,BSY3,08:15-08:20
V3,Crew pause,BSY3,08:20-08:25
V3,Crew pause,BSY3,08:25-08:30
V3,Crew pause,BSY3,08:30-08:35
V3,Crew pause,BSY3,08:35-08:40
V3,Crew pause,BSY3,08:40-08:45
V7,Waiting,BSY3,10:40-10:45
V12,Crew pause,BSY3,11:00-11:05
V12,Crew pause,BSY3,11:05-11:10
V12,Crew pause,BSY3,11:10-11:15
V12,Crew pause,BSY3,11:15-11:20
V12,Crew pause,BSY3,11:20-11:25
V12,Crew pause,BSY3,11:25-11:30
