Vessel,Task,Wharf,Time
V6,Waiting,TZ1,05:40-05:45
V6,Waiting,TZ1,05:45-05:50
V6,Waiting,TZ1,05:50-05:55
V6,Waiting,TZ1,05:55-06:00
V1,F2 - Taronga Zoo (off peak),TZ1,08:20-08:25
V1,F2 - Taronga Zoo (off peak),TZ1,08:25-08:30
V6,F2 - Taronga Zoo (off peak),TZ1,08:50-08:55
V6,F2 - Taronga Zoo (off peak),TZ1,08:55-09:00
V5,F2 - Taronga Zoo (off peak),TZ1,09:20-09:25
V5,F2 - Taronga Zoo (off peak),TZ1,09:25-09:30
V7,F2 - Taronga Zoo (off peak),TZ1,09:50-09:55
V7,F2 - Taronga Zoo (off peak),TZ1,09:55-10:00
V10,F2 - Taronga Zoo (off peak),TZ1,10:20-10:25
V10,F2 - Taronga Zoo (off peak),TZ1,10:25-10:30
V4,F2 - Taronga Zoo (off peak),TZ1,10:50-10:55
V4,F2 - Taronga Zoo (off peak),TZ1,10:55-11:00
