Vessel,Task,Wharf,Time
V11,F6 - Mosman (peak),Mos1,06:17-06:27
V1,F6 - Mosman (peak),Mos1,06:47-06:57
V10,F2 - Zoo/Mosman (Peak),Mos1,07:01-07:11
V7,F6 - Mosman (peak),Mos1,07:17-07:27
V5,F2 - Zoo/Mosman (Peak),Mos1,07:31-07:41
V8,F6 - Mosman (peak),Mos1,07:47-07:57
V3,F2 - Zoo/Mosman (Peak),Mos1,08:01-08:11
V10,F6 - Mosman (peak),Mos1,08:17-08:27
V7,F6 - Mosman (peak),Mos1,08:47-08:57
V3,F6 - Mosman (off peak),Mos1,09:11-09:21
V1,F6 - Mosman (off peak),Mos1,09:41-09:51
V9,F6 - Mosman (off peak),Mos1,10:11-10:21
