Vessel,Task,Wharf,Time
V10,Charging,Bar2,05:35-05:40
V1,Crew Break,Bar2,05:35-06:05
V10,Charging,Bar2,05:40-05:45
V9,Charging,Bar2,05:45-05:50
V4,Charging,Bar2,05:55-06:00
V7,Charging,Bar2,06:05-06:10
V7,Crew Break,Bar2,06:10-06:40
V19,Charging,Bar2,06:15-06:20
V3,Charging,Bar2,06:35-06:40
V7,Charging,Bar2,06:40-06:45
V19,F11 - Blackwattle Bay,Bar2,07:43-07:46
V8,Charging,Bar2,08:20-08:25
V8,Charging,Bar2,08:25-08:30
V19,F11 - Blackwattle Bay,Bar2,08:43-08:46
V8,Charging,Bar2,08:45-08:50
V8,Charging,Bar2,08:50-08:55
V3,Charging,Bar2,08:55-09:00
V9,Charging,Bar2,09:10-09:15
V9,Charging,Bar2,09:15-09:20
V9,Charging,Bar2,09:20-09:25
V5,Charging,Bar2,09:35-09:40
V11,Charging,Bar2,09:45-09:50
V11,Charging,Bar2,09:50-09:55
V17,Charging,Bar2,10:15-10:20
V17,Charging,Bar2,10:20-10:25
V7,Charging,Bar2,10:40-10:45
V9,Charging,Bar2,10:55-11:00
V14,Crew Break,Bar2,11:00-11:30
V5,Charging,Bar2,11:05-11:10
