Vessel,Task,Wharf,Time
V17,Charging,CQ2,05:40-05:45
V11,Crew Break,CQ2,05:40-06:10
V17,Charging,CQ2,05:45-05:50
V17,Charging,CQ2,05:50-05:55
V16,Crew Break,CQ2,05:55-06:25
V2,F6 - Mosman (peak),CQ2,06:10-06:11
V3,Charging,CQ2,06:20-06:25
V5,F6 - Mosman (peak),CQ2,06:40-06:41
V17,Charging,CQ2,06:40-06:45
V17,Charging,CQ2,06:45-06:50
V17,Charging,CQ2,06:50-06:55
V15,F9 - Rose Bay,CQ2,06:52-06:56
V2,F6 - Mosman (peak),CQ2,06:58-07:01
V10,F5 - Neutral Bay,CQ2,07:02-07:05
V10,Charging,CQ2,07:05-07:10
V4,F6 - Mosman (peak),CQ2,07:10-07:11
V10,Charging,CQ2,07:10-07:15
V10,Charging,CQ2,07:15-07:20
V10,Charging,CQ2,07:20-07:25
V7,F8 - Cockatoo Island,CQ2,07:29-07:32
V2,Charging,CQ2,07:35-07:40
V2,F6 - Mosman (peak),CQ2,07:40-07:41
V1,F2 - Zoo/Mosman (Peak),CQ2,07:44-07:47
V14,Charging,CQ2,07:50-07:55
V9,F8 - Cockatoo Island,CQ2,07:59-08:02
V7,F5 - Neutral Bay,CQ2,08:02-08:05
V9,Charging,CQ2,08:05-08:10
V9,F6 - Mosman (peak),CQ2,08:10-08:11
V13,F9 - Rose Bay,CQ2,08:12-08:16
V14,F9 - Rose Bay,CQ2,08:32-08:36
V3,Crew Break,CQ2,08:35-09:05
V4,F6 - Mosman (peak),CQ2,08:40-08:41
V15,F9 - Rose Bay,CQ2,08:52-08:56
V12,F4 - Pyrmont Bay,CQ2,09:05-09:08
V1,Charging,CQ2,09:05-09:10
V12,Charging,CQ2,09:10-09:15
V8,F7 - Double Bay,CQ2,09:12-09:15
V12,Charging,CQ2,09:15-09:20
V12,Charging,CQ2,09:20-09:25
V13,Charging,CQ2,09:30-09:35
V17,F9 - Rose Bay,CQ2,09:32-09:36
V13,Charging,CQ2,09:35-09:40
V17,Charging,CQ2,09:40-09:45
V17,Charging,CQ2,09:45-09:50
V17,Charging,CQ2,09:50-09:55
V3,F6 - Mosman (off peak),CQ2,09:56-09:59
V3,Charging,CQ2,10:00-10:05
V3,Charging,CQ2,10:05-10:10
V10,Crew Break,CQ2,10:15-10:45
V12,F9 - Watsons Bay,CQ2,10:23-10:27
V4,Charging,CQ2,10:30-10:35
V6,Charging,CQ2,10:35-10:40
V6,Charging,CQ2,10:40-10:45
V10,Charging,CQ2,10:45-10:50
V6,Charging,CQ2,10:45-10:50
V10,Charging,CQ2,10:50-10:55
V13,Crew Break,CQ2,10:50-11:20
V10,Crew Break,CQ2,10:55-11:25
V5,Charging,CQ2,11:20-11:25
V5,Charging,CQ2,11:25-11:30
V10,Charging,CQ2,11:25-11:30
