Vessel,Task,Wharf,Time
V11,F8 - Cockatoo Island,CI1,06:40-06:50
V10,F8 - Cockatoo Island,CI1,07:10-07:20
V8,F8 - Cockatoo Island,CI1,07:40-07:50
V11,F8 - Cockatoo Island,CI1,08:10-08:20
V10,F8 - Cockatoo Island,CI1,08:40-08:50
V8,F8 - Cockatoo Island,CI1,09:10-09:20
V11,F8 - Cockatoo Island,CI1,09:40-09:50
V10,F8 - Cockatoo Island,CI1,10:10-10:20
V1,Waiting,CI1,11:00-11:05
V1,Waiting,CI1,11:05-11:10
V1,Waiting,CI1,11:10-11:15
V1,Waiting,CI1,11:15-11:20
V1,Waiting,CI1,11:20-11:25
V1,Waiting,CI1,11:25-11:30
