Variable,Value
"('10M', 1)",0.0
"('10M', 2)",0.0
"('10M', 3)",0.0
"('10M', 4)",0.0
"('10M', 5)",0.0
"('10M', 6)",0.0
"('10M', 7)",0.0
"('10M', 8)",0.0
"('10M', 9)",0.0
"('10M', 10)",0.0
"('10M', 11)",0.0
"('10M', 12)",0.0
"('10M', 13)",0.0
"('10M', 14)",0.0
"('10M', 15)",0.0
"('10M', 16)",0.0
"('10M', 17)",0.0
"('10M', 18)",0.0
"('10M', 19)",0.0
"('10M', 20)",0.0
"('10M', 21)",0.0
"('10M', 22)",0.0
"('10M', 23)",0.0
"('10M', 24)",0.0
"('10M', 25)",0.0
"('10M', 26)",0.0
"('10M', 27)",0.0
"('10M', 28)",0.0
"('10M', 29)",0.0
"('10M', 30)",0.0
"('10M', 31)",0.0
"('10M', 32)",0.0
"('10M', 33)",0.0
"('10M', 34)",0.0
"('10M', 35)",0.0
"('10M', 36)",0.0
"('10M', 37)",0.0
"('10M', 38)",0.0
"('10M', 39)",0.0
"('10M', 40)",0.0
"('10M', 41)",0.0
"('10M', 42)",0.0
"('10M', 43)",0.0
"('10M', 44)",0.0
"('10M', 45)",0.0
"('10M', 46)",0.0
"('10M', 47)",0.0
"('10M', 48)",0.0
"('10M', 49)",0.0
"('10M', 50)",0.0
"('10M', 51)",0.0
"('10M', 52)",0.0
"('10M', 53)",0.0
"('10M', 54)",0.0
"('10M', 55)",0.0
"('10M', 56)",0.0
"('10M', 57)",0.0
"('10M', 58)",0.0
"('10M', 59)",0.0
"('10M', 60)",0.0
"('10M', 61)",0.0
"('10M', 62)",0.0
"('10M', 63)",0.0
"('10M', 64)",0.0
"('10M', 65)",0.0
"('10M', 66)",0.0
"('10M', 67)",0.0
"('10M', 68)",0.0
"('10M', 69)",0.0
"('10M', 70)",0.0
"('10M', 71)",0.0
"('10M', 72)",0.0
"('24M', 1)",0.0
"('24M', 2)",0.0
"('24M', 3)",0.0
"('24M', 4)",0.0
"('24M', 5)",0.0
"('24M', 6)",0.0
"('24M', 7)",0.0
"('24M', 8)",0.0
"('24M', 9)",0.0
"('24M', 10)",0.0
"('24M', 11)",0.0
"('24M', 12)",0.0
"('24M', 13)",0.0
"('24M', 14)",0.0
"('24M', 15)",0.0
"('24M', 16)",0.0
"('24M', 17)",0.0
"('24M', 18)",0.0
"('24M', 19)",0.0
"('24M', 20)",0.0
"('24M', 21)",0.0
"('24M', 22)",0.0
"('24M', 23)",0.0
"('24M', 24)",0.0
"('24M', 25)",0.0
"('24M', 26)",0.0
"('24M', 27)",0.0
"('24M', 28)",0.0
"('24M', 29)",0.0
"('24M', 30)",0.0
"('24M', 31)",0.0
"('24M', 32)",0.0
"('24M', 33)",0.0
"('24M', 34)",0.0
"('24M', 35)",0.0
"('24M', 36)",0.0
"('24M', 37)",0.0
"('24M', 38)",0.0
"('24M', 39)",0.0
"('24M', 40)",0.0
"('24M', 41)",0.0
"('24M', 42)",0.0
"('24M', 43)",0.0
"('24M', 44)",0.0
"('24M', 45)",0.0
"('24M', 46)",0.0
"('24M', 47)",0.0
"('24M', 48)",0.0
"('24M', 49)",0.0
"('24M', 50)",0.0
"('24M', 51)",0.0
"('24M', 52)",0.0
"('24M', 53)",0.0
"('24M', 54)",0.0
"('24M', 55)",0.0
"('24M', 56)",0.0
"('24M', 57)",0.0
"('24M', 58)",0.0
"('24M', 59)",0.0
"('24M', 60)",0.0
"('24M', 61)",0.0
"('24M', 62)",0.0
"('24M', 63)",0.0
"('24M', 64)",0.0
"('24M', 65)",0.0
"('24M', 66)",0.0
"('24M', 67)",0.0
"('24M', 68)",0.0
"('24M', 69)",0.0
"('24M', 70)",0.0
"('24M', 71)",0.0
"('24M', 72)",0.0
"('EC1', 1)",0.0
"('EC1', 2)",0.0
"('EC1', 3)",0.0
"('EC1', 4)",0.0
"('EC1', 5)",0.0
"('EC1', 6)",0.0
"('EC1', 7)",0.0
"('EC1', 8)",0.0
"('EC1', 9)",0.0
"('EC1', 10)",0.0
"('EC1', 11)",0.0
"('EC1', 12)",0.0
"('EC1', 13)",0.0
"('EC1', 14)",0.0
"('EC1', 15)",0.0
"('EC1', 16)",0.0
"('EC1', 17)",0.0
"('EC1', 18)",0.0
"('EC1', 19)",0.0
"('EC1', 20)",0.0
"('EC1', 21)",0.0
"('EC1', 22)",0.0
"('EC1', 23)",0.0
"('EC1', 24)",0.0
"('EC1', 25)",0.0
"('EC1', 26)",0.0
"('EC1', 27)",0.0
"('EC1', 28)",0.0
"('EC1', 29)",0.0
"('EC1', 30)",0.0
"('EC1', 31)",0.0
"('EC1', 32)",0.0
