Variable,Value
"(1, 38)",0.0
"(1, 39)",0.0
"(1, 40)",0.0
"(1, 41)",1.0
"(1, 42)",0.0
"(1, 43)",0.0
"(1, 44)",0.0
"(2, 13)",0.0
"(2, 14)",1.0
"(2, 15)",0.0
"(2, 16)",0.0
"(2, 17)",0.0
"(2, 18)",0.0
"(2, 19)",0.0
"(3, 6)",0.0
"(3, 7)",0.0
"(3, 8)",0.0
"(3, 9)",1.0
"(3, 10)",0.0
"(3, 11)",0.0
"(3, 12)",0.0
"(4, 3)",0.0
"(4, 4)",1.0
"(4, 5)",0.0
"(4, 6)",0.0
"(4, 7)",0.0
"(4, 8)",0.0
"(4, 9)",0.0
"(5, 5)",0.0
"(5, 6)",-0.0
"(5, 7)",0.0
"(5, 8)",0.0
"(5, 9)",1.0
"(5, 10)",-0.0
"(5, 11)",0.0
"(6, 40)",0.0
"(6, 41)",1.0
"(6, 42)",0.0
"(6, 43)",0.0
"(6, 44)",-0.0
"(6, 45)",0.0
"(6, 46)",0.0
"(7, 9)",0.0
"(7, 10)",1.0
"(7, 11)",0.0
"(7, 12)",0.0
"(7, 13)",0.0
"(7, 14)",0.0
"(7, 15)",0.0
"(8, 7)",0.0
"(8, 8)",0.0
"(8, 9)",1.0
"(8, 10)",0.0
"(8, 11)",0.0
"(8, 12)",0.0
"(8, 13)",0.0
"(9, 9)",0.0
"(9, 10)",0.0
"(9, 11)",0.0
"(9, 12)",1.0
"(9, 13)",0.0
"(9, 14)",0.0
"(9, 15)",0.0
"(10, 49)",0.0
"(10, 50)",0.0
"(10, 51)",0.0
"(10, 52)",1.0
"(10, 53)",0.0
"(10, 54)",0.0
"(10, 55)",0.0
"(11, 9)",0.0
"(11, 10)",0.0
"(11, 11)",1.0
"(11, 12)",-0.0
"(11, 13)",-0.0
"(11, 14)",0.0
"(11, 15)",0.0
