Variable,Value
"('10M', 1, 1)",0.0
"('10M', 1, 2)",0.0
"('10M', 1, 3)",0.0
"('10M', 1, 4)",0.0
"('10M', 1, 5)",0.0
"('10M', 1, 6)",0.0
"('10M', 1, 7)",0.0
"('10M', 1, 8)",0.0
"('10M', 1, 9)",0.0
"('10M', 1, 10)",0.0
"('10M', 1, 11)",0.0
"('10M', 1, 12)",0.0
"('10M', 1, 13)",0.0
"('10M', 1, 14)",0.0
"('10M', 1, 15)",0.0
"('10M', 1, 16)",0.0
"('10M', 1, 17)",0.0
"('10M', 1, 18)",0.0
"('10M', 1, 19)",0.0
"('10M', 1, 20)",0.0
"('10M', 1, 21)",0.0
"('10M', 1, 22)",0.0
"('10M', 1, 23)",0.0
"('10M', 1, 24)",0.0
"('10M', 1, 25)",0.0
"('10M', 1, 26)",0.0
"('10M', 1, 27)",0.0
"('10M', 1, 28)",0.0
"('10M', 1, 29)",0.0
"('10M', 1, 30)",0.0
"('10M', 1, 31)",0.0
"('10M', 1, 32)",0.0
"('10M', 1, 33)",0.0
"('10M', 1, 34)",0.0
"('10M', 1, 35)",0.0
"('10M', 1, 36)",0.0
"('10M', 1, 37)",0.0
"('10M', 1, 38)",0.0
"('10M', 1, 39)",0.0
"('10M', 1, 40)",0.0
"('10M', 1, 41)",0.0
"('10M', 1, 42)",0.0
"('10M', 1, 43)",0.0
"('10M', 1, 44)",0.0
"('10M', 1, 45)",0.0
"('10M', 1, 46)",0.0
"('10M', 1, 47)",0.0
"('10M', 1, 48)",0.0
"('10M', 1, 49)",0.0
"('10M', 1, 50)",0.0
"('10M', 1, 51)",0.0
"('10M', 1, 52)",0.0
"('10M', 1, 53)",0.0
"('10M', 1, 54)",0.0
"('10M', 1, 55)",0.0
"('10M', 1, 56)",0.0
"('10M', 1, 57)",0.0
"('10M', 1, 58)",0.0
"('10M', 1, 59)",0.0
"('10M', 1, 60)",0.0
"('10M', 1, 61)",0.0
"('10M', 1, 62)",0.0
"('10M', 1, 63)",0.0
"('10M', 1, 64)",0.0
"('10M', 1, 65)",0.0
"('10M', 1, 66)",0.0
"('10M', 1, 67)",0.0
"('10M', 1, 68)",0.0
"('10M', 1, 69)",0.0
"('10M', 1, 70)",0.0
"('10M', 1, 71)",0.0
"('10M', 1, 72)",0.0
"('10M', 2, 1)",0.0
"('10M', 2, 2)",0.0
"('10M', 2, 3)",0.0
"('10M', 2, 4)",0.0
"('10M', 2, 5)",0.0
"('10M', 2, 6)",0.0
"('10M', 2, 7)",0.0
"('10M', 2, 8)",0.0
"('10M', 2, 9)",0.0
"('10M', 2, 10)",0.0
"('10M', 2, 11)",0.0
"('10M', 2, 12)",0.0
"('10M', 2, 13)",0.0
"('10M', 2, 14)",0.0
"('10M', 2, 15)",0.0
"('10M', 2, 16)",0.0
"('10M', 2, 17)",0.0
"('10M', 2, 18)",0.0
"('10M', 2, 19)",0.0
"('10M', 2, 20)",0.0
"('10M', 2, 21)",0.0
"('10M', 2, 22)",0.0
"('10M', 2, 23)",0.0
"('10M', 2, 24)",0.0
"('10M', 2, 25)",0.0
"('10M', 2, 26)",0.0
"('10M', 2, 27)",0.0
"('10M', 2, 28)",0.0
"('10M', 2, 29)",0.0
"('10M', 2, 30)",0.0
"('10M', 2, 31)",0.0
"('10M', 2, 32)",0.0
"('10M', 2, 33)",0.0
"('10M', 2, 34)",0.0
"('10M', 2, 35)",0.0
"('10M', 2, 36)",0.0
"('10M', 2, 37)",0.0
"('10M', 2, 38)",0.0
"('10M', 2, 39)",0.0
"('10M', 2, 40)",0.0
"('10M', 2, 41)",0.0
"('10M', 2, 42)",0.0
"('10M', 2, 43)",0.0
"('10M', 2, 44)",0.0
"('10M', 2, 45)",0.0
"('10M', 2, 46)",0.0
"('10M', 2, 47)",0.0
"('10M', 2, 48)",0.0
"('10M', 2, 49)",0.0
"('10M', 2, 50)",0.0
"('10M', 2, 51)",0.0
"('10M', 2, 52)",0.0
"('10M', 2, 53)",0.0
"('10M', 2, 54)",0.0
"('10M', 2, 55)",0.0
"('10M', 2, 56)",0.0
"('10M', 2, 57)",0.0
"('10M', 2, 58)",0.0
"('10M', 2, 59)",0.0
"('10M', 2, 60)",0.0
"('10M', 2, 61)",0.0
"('10M', 2, 62)",0.0
"('10M', 2, 63)",0.0
"('10M', 2, 64)",0.0
"('10M', 2, 65)",0.0
"('10M', 2, 66)",0.0
"('10M', 2, 67)",0.0
"('10M', 2, 68)",0.0
"('10M', 2, 69)",0.0
"('10M', 2, 70)",0.0
"('10M', 2, 71)",0.0
"('10M', 2, 72)",0.0
"('10M', 3, 1)",0.0
"('10M', 3, 2)",0.0
"('10M', 3, 3)",0.0
"('10M', 3, 4)",0.0
"('10M', 3, 5)",0.0
"('10M', 3, 6)",0.0
"('10M', 3, 7)",0.0
"('10M', 3, 8)",0.0
"('10M', 3, 9)",0.0
"('10M', 3, 10)",0.0
"('10M', 3, 11)",0.0
"('10M', 3, 12)",0.0
"('10M', 3, 13)",0.0
"('10M', 3, 14)",0.0
"('10M', 3, 15)",0.0
"('10M', 3, 16)",0.0
"('10M', 3, 17)",0.0
"('10M', 3, 18)",0.0
"('10M', 3, 19)",0.0
"('10M', 3, 20)",0.0
"('10M', 3, 21)",0.0
"('10M', 3, 22)",0.0
"('10M', 3, 23)",0.0
"('10M', 3, 24)",0.0
"('10M', 3, 25)",0.0
"('10M', 3, 26)",0.0
"('10M', 3, 27)",0.0
"('10M', 3, 28)",0.0
"('10M', 3, 29)",0.0
"('10M', 3, 30)",0.0
"('10M', 3, 31)",0.0
"('10M', 3, 32)",0.0
"('10M', 3, 33)",0.0
"('10M', 3, 34)",0.0
"('10M', 3, 35)",0.0
"('10M', 3, 36)",0.0
"('10M', 3, 37)",0.0
"('10M', 3, 38)",0.0
"('10M', 3, 39)",0.0
"('10M', 3, 40)",0.0
"('10M', 3, 41)",0.0
"('10M', 3, 42)",0.0
"('10M', 3, 43)",0.0
"('10M', 3, 44)",0.0
"('10M', 3, 45)",0.0
