Variable,Value
"(1, 11)",0
"(1, 12)",0
"(1, 13)",0
"(1, 14)",1
"(1, 15)",0
"(1, 16)",0
"(1, 17)",0
"(2, 13)",0
"(2, 14)",0
"(2, 15)",0
"(2, 16)",1
"(2, 17)",0
"(2, 18)",0
"(2, 19)",0
"(3, 4)",0
"(3, 5)",0
"(3, 6)",0
"(3, 7)",1
"(3, 8)",0
"(3, 9)",0
"(3, 10)",0
"(4, 3)",0
"(4, 4)",0
"(4, 5)",0
"(4, 6)",1
"(4, 7)",0
"(4, 8)",0
"(4, 9)",0
"(5, 4)",0
"(5, 5)",0
"(5, 6)",0
"(5, 7)",1
"(5, 8)",0
"(5, 9)",0
"(5, 10)",0
"(6, 7)",0
"(6, 8)",0
"(6, 9)",0
"(6, 10)",1
"(6, 11)",0
"(6, 12)",0
"(6, 13)",0
"(7, 6)",0
"(7, 7)",0
"(7, 8)",0
"(7, 9)",1
"(7, 10)",0
"(7, 11)",0
"(7, 12)",0
"(8, 45)",0
"(8, 46)",0
"(8, 47)",0
"(8, 48)",1
"(8, 49)",0
"(8, 50)",0
"(8, 51)",0
"(9, 3)",0
"(9, 4)",0
"(9, 5)",0
"(9, 6)",1
"(9, 7)",0
"(9, 8)",0
"(9, 9)",0
"(10, 9)",0
"(10, 10)",0
"(10, 11)",0
"(10, 12)",1
"(10, 13)",0
"(10, 14)",0
"(10, 15)",0
