Variable,Value
"('V19', 9, 18)",1
"('V1', 1, 38)",1
"('V1', 3, 30)",1
"('V1', 4, 7)",1
"('V1', 5, 46)",1
"('V2', 1, 44)",1
"('V2', 3, 36)",1
"('V2', 4, 13)",1
"('V2', 5, 52)",1
"('V3', 1, 50)",1
"('V3', 3, 42)",1
"('V3', 4, 19)",1
"('V3', 5, 58)",1
"('V4', 1, 56)",1
"('V4', 3, 48)",1
"('V4', 4, 25)",1
"('V4', 6, 9)",1
"('V5', 1, 62)",1
"('V5', 3, 54)",1
"('V5', 4, 31)",1
"('V5', 6, 15)",1
"('V6', 1, 68)",1
"('V6', 3, 60)",1
"('V6', 4, 37)",1
"('V6', 5, 10)",1
"('V6', 6, 21)",1
"('V7', 3, 66)",1
"('V7', 4, 43)",1
"('V7', 5, 16)",1
"('V7', 6, 27)",1
"('V8', 1, 14)",1
"('V8', 3, 6)",1
"('V8', 4, 49)",1
"('V8', 5, 22)",1
"('V8', 6, 33)",1
"('V9', 1, 20)",1
"('V9', 3, 12)",1
"('V9', 4, 55)",1
"('V9', 5, 28)",1
"('V9', 6, 39)",1
"('V10', 1, 26)",1
"('V10', 3, 18)",1
"('V10', 4, 61)",1
"('V10', 5, 34)",1
"('V10', 6, 45)",1
"('V11', 1, 32)",1
"('V11', 3, 24)",1
"('V11', 5, 40)",1
"('V11', 6, 51)",1
"('V12', 2, 15)",1
"('V12', 2, 39)",1
"('V12', 2, 69)",1
"('V12', 7, 6)",1
"('V12', 7, 30)",1
"('V13', 2, 19)",1
"('V13', 2, 45)",1
"('V13', 7, 10)",1
"('V13', 7, 34)",1
"('V14', 2, 23)",1
"('V14', 2, 57)",1
"('V14', 7, 14)",1
"('V14', 7, 38)",1
"('V15', 2, 27)",1
"('V15', 2, 51)",1
"('V15', 7, 18)",1
"('V15', 7, 42)",1
"('V16', 2, 7)",1
"('V16', 2, 31)",1
"('V16', 2, 63)",1
"('V16', 7, 22)",1
"('V16', 8, 48)",1
"('V17', 2, 11)",1
"('V17', 2, 35)",1
"('V17', 7, 26)",1
"('V18', 9, 12)",1
