Variable,Value
"(1, 19)",1.0
"(1, 20)",0.0
"(1, 21)",0.0
"(1, 22)",-0.0
"(1, 23)",0.0
"(1, 24)",0.0
"(1, 25)",0.0
"(2, 24)",1.0
"(2, 25)",0.0
"(2, 26)",0.0
"(2, 27)",0.0
"(2, 28)",0.0
"(2, 29)",0.0
"(2, 30)",0.0
"(3, 44)",0.0
"(3, 45)",-0.0
"(3, 46)",0.0
"(3, 47)",1.0
"(3, 48)",0.0
"(3, 49)",0.0
"(3, 50)",-0.0
"(4, 48)",1.0
"(4, 49)",-0.0
"(4, 50)",-0.0
"(4, 51)",-0.0
"(4, 52)",-0.0
"(4, 53)",-0.0
"(4, 54)",-0.0
"(5, 19)",-0.0
"(5, 20)",-0.0
"(5, 21)",0.0
"(5, 22)",0.0
"(5, 23)",1.0
"(5, 24)",-0.0
"(5, 25)",-0.0
"(6, 9)",-0.0
"(6, 10)",-0.0
"(6, 11)",1.0
"(6, 12)",0.0
"(6, 13)",0.0
"(6, 14)",-0.0
"(6, 15)",-0.0
"(7, 12)",-0.0
"(7, 13)",-0.0
"(7, 14)",0.0
"(7, 15)",1.0
"(7, 16)",0.0
"(7, 17)",-0.0
"(7, 18)",-0.0
"(8, 13)",-0.0
"(8, 14)",-0.0
"(8, 15)",0.0
"(8, 16)",1.0
"(8, 17)",0.0
"(8, 18)",-0.0
"(8, 19)",-0.0
"(9, 9)",1.0
"(9, 10)",-0.0
"(9, 11)",-0.0
"(9, 12)",-0.0
"(9, 13)",-0.0
"(9, 14)",-0.0
"(9, 15)",-0.0
"(10, 11)",1.0
"(10, 12)",0.0
"(10, 13)",-0.0
"(10, 14)",0.0
"(10, 15)",0.0
"(10, 16)",-0.0
"(10, 17)",-0.0
"(11, 14)",1.0
"(11, 15)",0.0
"(11, 16)",-0.0
"(11, 17)",-0.0
"(11, 18)",-0.0
"(11, 19)",-0.0
"(11, 20)",0.0
"(12, 15)",0.0
"(12, 16)",0.0
"(12, 17)",-0.0
"(12, 18)",-0.0
"(12, 19)",-0.0
"(12, 20)",-0.0
"(12, 21)",1.0
"(13, 20)",0.0
"(13, 21)",1.0
"(13, 22)",-0.0
"(13, 23)",0.0
"(13, 24)",-0.0
"(13, 25)",-0.0
"(13, 26)",-0.0
"(14, 13)",1.0
"(14, 14)",0.0
"(14, 15)",0.0
"(14, 16)",-0.0
"(14, 17)",0.0
"(14, 18)",0.0
"(14, 19)",0.0
"(15, 14)",0.0
"(15, 15)",-0.0
"(15, 16)",0.0
"(15, 17)",1.0
"(15, 18)",0.0
"(15, 19)",0.0
"(15, 20)",0.0
"(16, 11)",-0.0
"(16, 12)",-0.0
"(16, 13)",1.0
"(16, 14)",0.0
"(16, 15)",0.0
"(16, 16)",-0.0
"(16, 17)",-0.0
"(17, 17)",-0.0
"(17, 18)",-0.0
"(17, 19)",0.0
"(17, 20)",0.0
"(17, 21)",1.0
"(17, 22)",-0.0
"(17, 23)",-0.0
"(18, 21)",-0.0
"(18, 22)",1.0
"(18, 23)",-0.0
"(18, 24)",0.0
"(18, 25)",-0.0
"(18, 26)",0.0
"(18, 27)",0.0
"(19, 18)",0.0
"(19, 19)",-0.0
"(19, 20)",-0.0
"(19, 21)",0.0
"(19, 22)",-0.0
"(19, 23)",-0.0
"(19, 24)",-0.0
