Vessel,Time,Value
V15,05:30,0.9697
V15,05:35,0.9394
V15,05:40,1.0
V15,05:45,0.9091
V15,05:50,0.8787999999999998
V15,05:55,0.8484999999999996
V15,06:00,0.8181999999999994
V15,06:05,0.86914736
V15,06:10,0.9963473599999998
V15,06:15,0.9687752979999998
V15,06:20,0.941203236
V15,06:25,0.913631174
V15,06:30,0.913631174
V15,06:35,0.913631174
V15,06:40,0.913631174
V15,06:45,0.886059112
V15,06:50,0.85848705
V15,06:55,0.8584870499999999
V15,07:00,0.8424843759999999
V15,07:05,0.8264817019999999
V15,07:10,0.8104790279999999
V15,07:15,0.7944763539999999
V15,07:20,0.77847368
V15,07:25,0.762471006
V15,07:30,0.762471006
V15,07:35,0.762471006
V15,07:40,0.762471006
V15,07:45,0.746468332
V15,07:50,0.730465658
V15,07:55,0.714462984
V15,08:00,0.69846031
V15,08:05,0.69846031
V15,08:10,0.69846031
V15,08:15,0.670888248
V15,08:20,0.643316186
V15,08:25,0.615744124
V15,08:30,0.615744124
V15,08:35,0.615744124
V15,08:40,0.615744124
V15,08:45,0.5881720619999999
V15,08:50,0.5606
V15,08:55,0.5606
V15,09:00,0.5303
V15,09:05,0.5
V15,09:10,0.5
V15,09:15,0.5
V15,09:20,0.5
V15,09:25,0.5
V15,09:30,0.5
V15,09:35,0.5
V15,09:40,0.5
V15,09:45,0.5
V15,09:50,0.5
V15,09:55,0.6272
V15,10:00,0.6272
V15,10:05,0.6272
V15,10:10,0.6272
V15,10:15,0.5
V15,10:20,0.5
V15,10:25,0.5
V15,10:30,0.5
V15,10:35,0.5
V15,10:40,0.5
V15,10:45,0.5
V15,10:50,0.5
V15,10:55,0.5
V15,11:00,0.5
V15,11:05,0.5
V15,11:10,0.5
V15,11:15,0.5
V15,11:20,0.5
V15,11:25,0.5
