Task,Time,Battery_Level
,05:30,1.0
Rebalancing,05:35,0.9394
cp_Bar5 cont.,05:40,0.9394
cp_Bar5 cont.,05:45,0.9394
cp_Bar5 cont.,05:50,0.9394
cp_Bar5 cont.,05:55,0.9394
cp_Bar5 cont.,06:00,0.9394
cp_Bar5 cont.,06:05,0.9394
Bar5,06:10,0.9394
Rebalancing,06:15,0.8788
Rebalancing,06:20,0.8182
phi_CQ5,06:25,0.9462
Rebalancing,06:30,0.8856
Rebalancing,06:35,0.8250000000000001
phi_Bar2,06:40,0.9530000000000001
phi_Bar2,06:45,1.0
Rebalancing,06:50,0.9394
Rebalancing,06:55,0.8788
10 cont.,07:00,0.8718
10 cont.,07:05,0.8648
10 cont.,07:10,0.8578
10 cont.,07:15,0.8508
10 cont.,07:20,0.8438
10 cont.,07:25,0.8368
10 cont.,07:30,0.8298
10 cont.,07:35,0.8228
10 cont.,07:40,0.8158
10 cont.,07:45,0.8088
10 cont.,07:50,0.8018
Rebalancing,07:55,0.7412
Rebalancing,08:00,0.6806
phi_Bar1,08:05,0.8086
Rebalancing,08:10,0.748
Rebalancing,08:15,0.6874
5 cont.,08:20,0.6814
5 cont.,08:25,0.6754
5 cont.,08:30,0.6694
5 cont.,08:35,0.6634
5 cont.,08:40,0.6574
5 cont.,08:45,0.6514
5 cont.,08:50,0.6454
5 cont.,08:55,0.6394
5 cont.,09:00,0.6334
5 cont.,09:05,0.6274
Rebalancing,09:10,0.5668
Rebalancing,09:15,0.5062
phi_Bar1,09:20,0.6342
phi_Bar1,09:25,0.7622
Rebalancing,09:30,0.7016
Rebalancing,09:35,0.641
4 cont.,09:40,0.635
4 cont.,09:45,0.629
4 cont.,09:50,0.623
4 cont.,09:55,0.617
4 cont.,10:00,0.611
4 cont.,10:05,0.605
4 cont.,10:10,0.599
4 cont.,10:15,0.593
4 cont.,10:20,0.587
4 cont.,10:25,0.581
4 cont.,10:30,0.575
phi_CQEXTRA2,10:35,0.703
1 cont.,10:40,0.709
1 cont.,10:45,0.715
1 cont.,10:50,0.721
1 cont.,10:55,0.727
1 cont.,11:00,0.733
1 cont.,11:05,0.739
1 cont.,11:10,0.745
1 cont.,11:15,0.751
phi_CQ4,11:20,0.879
CQ4,11:25,1.0
phi_CQ4,11:30,1.0
