Task,Time,Battery_Level
,05:30,1.0
Rebalancing,05:35,0.9394
Rebalancing,05:40,0.8788
Rebalancing,05:45,0.8182
Rebalancing,05:50,0.7576
BWB1,05:55,0.7576
BWB1,06:00,0.7576
BWB1,06:05,0.7576
Rebalancing,06:10,0.6970000000000001
Rebalancing,06:15,0.6364000000000001
Rebalancing,06:20,0.5758000000000001
phi_Bar1,06:25,0.7038000000000001
Rebalancing,06:30,0.6432000000000001
Rebalancing,06:35,0.5826000000000001
5 cont.,06:40,0.5766000000000001
5 cont.,06:45,0.5706000000000001
5 cont.,06:50,0.5646000000000001
5 cont.,06:55,0.5586000000000001
5 cont.,07:00,0.5526000000000001
5 cont.,07:05,0.5466000000000001
5 cont.,07:10,0.5406000000000001
5 cont.,07:15,0.5346000000000001
5 cont.,07:20,0.5286000000000001
5 cont.,07:25,0.5226000000000001
phi_CQ4,07:30,0.6506000000000001
phi_CQ4,07:35,0.7786000000000001
5 cont.,07:40,0.7726000000000001
5 cont.,07:45,0.7666000000000001
5 cont.,07:50,0.7606
5 cont.,07:55,0.7546
5 cont.,08:00,0.7486
5 cont.,08:05,0.7426
5 cont.,08:10,0.7366
5 cont.,08:15,0.7306
5 cont.,08:20,0.7246
5 cont.,08:25,0.7186
1 cont.,08:30,0.7246
1 cont.,08:35,0.7306
1 cont.,08:40,0.7366
1 cont.,08:45,0.7426
1 cont.,08:50,0.7486
1 cont.,08:55,0.7546
1 cont.,09:00,0.7606
1 cont.,09:05,0.7666000000000001
5 cont.,09:10,0.7606
5 cont.,09:15,0.7546
5 cont.,09:20,0.7486
5 cont.,09:25,0.7426
5 cont.,09:30,0.7366
5 cont.,09:35,0.7306
5 cont.,09:40,0.7246
5 cont.,09:45,0.7186
5 cont.,09:50,0.7126
5 cont.,09:55,0.7066
Rebalancing,10:00,0.646
Rebalancing,10:05,0.5854
phi_Bar2,10:10,0.7134
Bar2,10:15,0.8734000000000001
phi_Bar2,10:20,1.0
phi_Bar2,10:25,1.0
Rebalancing,10:30,0.9394
Rebalancing,10:35,0.8788
phi_CQ2,10:40,1.0
Rebalancing,10:45,0.9394
Rebalancing,10:50,0.8788
cp_Bar5 cont.,10:55,0.8788
cp_Bar5 cont.,11:00,0.8788
cp_Bar5 cont.,11:05,0.8788
cp_Bar5 cont.,11:10,0.8788
cp_Bar5 cont.,11:15,0.8788
cp_Bar5 cont.,11:20,0.8788
Bar5,11:25,0.8788
Bar5,11:30,0.8788
