From/To,Circular Quay,Barangaroo,Balmain Shipyard,Watsons Bay,Rose Bay,Double Bay,Mosman,Taronga Zoo,Woolwich,Cockatoo Island,Pyrmont Bay,Chiswick,Cabarita,Syd Olym Pk,Rydalmere,Parramatta,Blackwattle Bay
Circular Quay,0,10,12,15,12,13,15,12,13,13,12,19,21,27,36,55,29
Barangaroo,10,0,8,20,17,18,20,17,11,11,3,17,19,25,34,53,19
Balmain Shipyard,12,8,0,21,18,19,21,18,9,9,9,16,18,24,33,52,27
Watsons Bay,15,20,21,0,10,11,13,10,22,22,21,30,32,38,45,64,39
Rose Bay,12,17,18,10,0,10,12,9,21,21,20,29,31,37,44,63,36
Double Bay,13,18,19,11,10,0,15,12,26,26,19,28,30,36,43,62,37
Mosman,15,20,21,13,12,15,0,5,23,23,22,28,30,36,43,62,39
Taronga Zoo,12,17,18,10,9,12,5,0,20,20,19,25,27,33,40,59,36
Woolwich,13,11,9,22,21,26,23,20,0,5,14,11,13,19,28,47,30
Cockatoo Island,13,11,9,22,21,26,23,20,5,0,14,9,11,17,26,45,30
Pyrmont Bay,12,3,9,21,20,19,22,19,14,14,0,18,20,26,35,54,22
Chiswick,19,17,16,30,29,28,28,25,11,9,18,0,7,13,22,41,36
Cabarita,21,19,18,32,31,30,30,27,13,11,20,7,0,8,17,36,38
Syd Olym Pk,27,25,24,38,37,36,36,33,19,17,26,13,8,0,10,29,44
Rydalmere,36,34,33,45,44,43,43,40,28,26,35,22,17,10,0,19,53
Parramatta,55,53,52,64,63,62,62,59,47,45,54,41,36,29,19,0,72
Blackwattle Bay,29,19,27,39,36,37,39,36,30,30,22,36,38,44,53,72,0
