h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24,h25,h26,h27,h28,h29,h30
29.99,29.99,29.99,29.99,29.99,59.99,29.99,59.99,29.99,29.99,59.99,29.99,59.99,19.99,29.99,19.99,19.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,19.99,19.99,29.99,29.99
29.99,29.99,29.99,29.99,29.99,59.99,29.99,59.99,14.99,29.99,59.99,29.99,29.99,59.99,29.99,19.99,19.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,,19.99,19.99,29.99,29.99
29.99,29.99,29.99,29.99,29.99,59.99,29.99,59.99,29.99,29.99,59.99,29.99,19.99,119.99,29.99,19.99,19.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,,,19.99,19.99,29.99,29.99
,,29.99,29.99,29.99,59.99,29.99,19.99,29.99,,59.99,,19.99,59.99,29.99,19.99,19.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,,,19.99,19.99,29.99,29.99
,,,,,59.99,,39.99,,,59.99,,39.99,59.99,29.99,19.99,19.99,29.99,29.99,29.99,29.99,29.99,29.99,29.99,,,19.99,19.99,29.99,29.99
,,,,,59.99,,19.99,,,,,19.99,59.99,29.99,19.99,19.99,29.99,29.99,29.99,59.99,59.99,59.99,29.99,,,19.99,19.99,29.99,29.99
,,,,,,,39.99,,,,,39.99,,,19.99,19.99,29.99,29.99,29.99,,,,,,,19.99,19.99,29.99,29.99
,,,,,,,19.99,,,,,19.99,,,19.99,29.99,29.99,29.99,29.99,,,,,,,19.99,19.99,59.99,59.99
,,,,,,,39.99,,,,,39.99,,,19.99,29.99,29.99,29.99,29.99,,,,,,,19.99,19.99,,
,,,,,,,19.99,,,,,19.99,,,29.99,29.99,29.99,,,,,,,,,19.99,29.99,,
,,,,,,,19.99,,,,,59.99,,,29.99,29.99,,,,,,,,,,,,,
,,,,,,,29.99,,,,,59.99,,,,,,,,,,,,,,,,,
,,,,,,,59.99,,,,,59.99,,,,,,,,,,,,,,,,,
,,,,,,,89.99,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,29.99,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,59.99,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,59.99,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,89.99,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,119.99,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,119.99,,,,,,,,,,,,,,,,,,,,,,
