Variable,Value
"(1, 11)",0
"(1, 12)",0
"(1, 13)",0
"(1, 14)",1
"(1, 15)",0
"(1, 16)",0
"(1, 17)",0
"(2, 4)",0
"(2, 5)",0
"(2, 6)",0
"(2, 7)",1
"(2, 8)",0
"(2, 9)",0
"(2, 10)",0
"(3, 3)",0
"(3, 4)",0
"(3, 5)",0
"(3, 6)",1
"(3, 7)",0
"(3, 8)",0
"(3, 9)",0
"(4, 4)",0
"(4, 5)",0
"(4, 6)",0
"(4, 7)",1
"(4, 8)",0
"(4, 9)",0
"(4, 10)",0
"(5, 7)",0
"(5, 8)",0
"(5, 9)",0
"(5, 10)",1
"(5, 11)",0
"(5, 12)",0
"(5, 13)",0
"(6, 6)",0
"(6, 7)",0
"(6, 8)",0
"(6, 9)",1
"(6, 10)",0
"(6, 11)",0
"(6, 12)",0
"(7, 3)",0
"(7, 4)",0
"(7, 5)",0
"(7, 6)",1
"(7, 7)",0
"(7, 8)",0
"(7, 9)",0
"(8, 45)",0
"(8, 46)",0
"(8, 47)",0
"(8, 48)",1
"(8, 49)",0
"(8, 50)",0
"(8, 51)",0
"(9, 9)",0
"(9, 10)",0
"(9, 11)",0
"(9, 12)",1
"(9, 13)",0
"(9, 14)",0
"(9, 15)",0
