Variable,Value
"('V18', 1)",1.0
"('V18', 2)",1.0
"('V18', 3)",0.9697
"('V18', 4)",0.9697
"('V18', 5)",0.9697
"('V18', 6)",0.9697
"('V18', 7)",0.9697
"('V18', 8)",0.9697
"('V18', 9)",0.9697
"('V18', 10)",0.9697
"('V18', 11)",0.955527922
"('V18', 12)",0.941355844
"('V18', 13)",0.927183766
"('V18', 14)",0.913011688
"('V18', 15)",0.89883961
"('V18', 16)",0.89883961
"('V18', 17)",0.89883961
"('V18', 18)",0.89883961
"('V18', 19)",0.884667532
"('V18', 20)",0.870495454
"('V18', 21)",0.856323376
"('V18', 22)",0.856323376
"('V18', 23)",0.842151298
"('V18', 24)",0.82797922
"('V18', 25)",0.813807142
"('V18', 26)",0.799635064
"('V18', 27)",0.785462986
"('V18', 28)",0.785462986
"('V18', 29)",0.785462986
"('V18', 30)",0.785462986
"('V18', 31)",0.771290908
"('V18', 32)",0.75711883
"('V18', 33)",0.7429467519999999
"('V18', 34)",0.7429467519999999
"('V18', 35)",0.728774674
"('V18', 36)",0.698409092
"('V18', 37)",0.684237014
"('V18', 38)",0.670064936
"('V18', 39)",0.655892858
"('V18', 40)",0.655892858
"('V18', 41)",0.655892858
"('V18', 42)",0.655892858
"('V18', 43)",0.64172078
"('V18', 44)",0.627548702
"('V18', 45)",0.613376624
"('V18', 46)",0.613376624
"('V18', 47)",0.5992045460000001
"('V18', 48)",0.585032468
"('V18', 49)",0.57086039
"('V18', 50)",0.556688312
"('V18', 51)",0.542516234
"('V18', 52)",0.542516234
"('V18', 53)",0.542516234
"('V18', 54)",0.542516234
"('V18', 55)",0.528344156
"('V18', 56)",0.514172078
"('V18', 57)",0.5
"('V18', 58)",0.5
"('V18', 59)",0.5909
"('V18', 60)",0.5606
"('V18', 61)",0.5606
"('V18', 62)",0.5303
"('V18', 63)",0.5
"('V18', 64)",0.5
"('V18', 65)",0.5
"('V18', 66)",0.5
"('V18', 67)",0.5
"('V18', 68)",0.5
"('V18', 69)",0.5
"('V18', 70)",0.5
"('V18', 71)",0.5
"('V18', 72)",0.5
"('V19', 1)",0.9697
"('V19', 2)",0.9697
"('V19', 3)",0.9697
"('V19', 4)",0.9697
"('V19', 5)",0.9697
"('V19', 6)",0.9697
"('V19', 7)",0.9697
"('V19', 8)",0.9394
"('V19', 9)",0.9091
"('V19', 10)",1.0
"('V19', 11)",1.0
"('V19', 12)",1.0
"('V19', 13)",1.0
"('V19', 14)",1.0
"('V19', 15)",1.0
"('V19', 16)",1.0
"('V19', 17)",0.985827922
"('V19', 18)",0.971655844
"('V19', 19)",0.957483766
"('V19', 20)",0.943311688
"('V19', 21)",0.92913961
"('V19', 22)",0.92913961
"('V19', 23)",0.92913961
"('V19', 24)",0.92913961
"('V19', 25)",0.914967532
"('V19', 26)",0.9007954539999999
"('V19', 27)",0.886623376
"('V19', 28)",0.886623376
"('V19', 29)",0.872451298
"('V19', 30)",0.85827922
"('V19', 31)",0.844107142
"('V19', 32)",0.829935064
"('V19', 33)",0.815762986
"('V19', 34)",0.815762986
"('V19', 35)",0.815762986
"('V19', 36)",0.655892858
"('V19', 37)",0.64172078
"('V19', 38)",0.627548702
"('V19', 39)",0.613376624
"('V19', 40)",0.613376624
"('V19', 41)",0.5992045460000001
"('V19', 42)",0.585032468
"('V19', 43)",0.57086039
"('V19', 44)",0.556688312
"('V19', 45)",0.542516234
"('V19', 46)",0.542516234
"('V19', 47)",0.542516234
"('V19', 48)",0.542516234
"('V19', 49)",0.528344156
"('V19', 50)",0.514172078
"('V19', 51)",0.5
"('V19', 52)",0.5
"('V19', 53)",0.5
"('V19', 54)",0.5
"('V19', 55)",0.5606
"('V19', 56)",0.5606
"('V19', 57)",0.5606
"('V19', 58)",0.5606
"('V19', 59)",0.5606
"('V19', 60)",0.5606
"('V19', 61)",0.5606
"('V19', 62)",0.5606
"('V19', 63)",0.5303
"('V19', 64)",0.5
"('V19', 65)",0.5
"('V19', 66)",0.5
"('V19', 67)",0.5
"('V19', 68)",0.5
"('V19', 69)",0.5
"('V19', 70)",0.5
"('V19', 71)",0.5
"('V19', 72)",0.5
"('V1', 1)",0.9394
"('V1', 2)",0.9394
"('V1', 3)",0.9394
"('V1', 4)",0.9394
"('V1', 5)",0.9394
"('V1', 6)",0.9394
"('V1', 7)",0.9394
"('V1', 8)",0.8788
"('V1', 9)",0.8182
"('V1', 10)",0.9454
"('V1', 11)",0.926523737
"('V1', 12)",0.907647474
"('V1', 13)",0.888771211
"('V1', 14)",0.869894948
"('V1', 15)",0.851018685
"('V1', 16)",0.832142422
"('V1', 17)",0.832142422
"('V1', 18)",0.832142422
"('V1', 19)",0.832142422
"('V1', 20)",0.813266159
"('V1', 21)",0.794389896
"('V1', 22)",0.775513633
"('V1', 23)",0.75663737
"('V1', 24)",0.737761107
"('V1', 25)",0.737761107
"('V1', 26)",0.8649611070000001
"('V1', 27)",0.8043611070000001
"('V1', 28)",0.743761107
"('V1', 29)",0.8709611070000001
"('V1', 30)",0.8103611070000001
"('V1', 31)",0.7497611070000001
"('V1', 32)",0.745352016
"('V1', 33)",0.740942925
"('V1', 34)",0.736533834
"('V1', 35)",0.736533834
"('V1', 36)",0.589257075
"('V1', 37)",0.589257075
"('V1', 38)",0.584847984
"('V1', 39)",0.5804388930000001
"('V1', 40)",0.707638893
