Variable,Value
"('V18', 1)",0.0
"('V18', 2)",0.0
"('V18', 3)",0.0
"('V18', 4)",0.0
"('V18', 5)",0.0
"('V18', 6)",0.0
"('V18', 7)",0.0
"('V18', 8)",0.0
"('V18', 9)",0.0
"('V18', 10)",0.0
"('V18', 11)",0.0
"('V18', 12)",0.0
"('V18', 13)",0.0
"('V18', 14)",0.0
"('V18', 15)",0.0
"('V18', 16)",0.0
"('V18', 17)",0.0
"('V18', 18)",0.0
"('V18', 19)",0.0
"('V18', 20)",0.0
"('V18', 21)",0.0
"('V18', 22)",0.0
"('V18', 23)",0.0
"('V18', 24)",0.0
"('V18', 25)",0.0
"('V18', 26)",0.0
"('V18', 27)",0.0
"('V18', 28)",0.0
"('V18', 29)",0.0
"('V18', 30)",0.0
"('V18', 31)",0.0
"('V18', 32)",0.0
"('V18', 33)",0.0
"('V18', 34)",0.0
"('V18', 35)",0.0
"('V18', 36)",0.0
"('V18', 37)",0.0
"('V18', 38)",0.0
"('V18', 39)",0.0
"('V18', 40)",0.0
"('V18', 41)",0.0
"('V18', 42)",0.0
"('V18', 43)",0.0
"('V18', 44)",0.0
"('V18', 45)",0.0
"('V18', 46)",0.0
"('V18', 47)",0.0
"('V18', 48)",0.0
"('V18', 49)",0.0
"('V18', 50)",0.0
"('V18', 51)",0.0
"('V18', 52)",0.0
"('V18', 53)",0.0
"('V18', 54)",0.0
"('V18', 55)",0.0
"('V18', 56)",0.0
"('V18', 57)",0.0
"('V18', 58)",0.0
"('V18', 59)",0.0
"('V18', 60)",0.0
"('V18', 61)",0.0
"('V18', 62)",0.0
"('V18', 63)",0.0
"('V18', 64)",0.0
"('V18', 65)",0.0
"('V18', 66)",0.0
"('V18', 67)",0.0
"('V18', 68)",0.0
"('V18', 69)",0.0
"('V18', 70)",0.0
"('V18', 71)",0.0
"('V18', 72)",0.0
"('V19', 1)",0.0
"('V19', 2)",0.0
"('V19', 3)",0.0
"('V19', 4)",0.0
"('V19', 5)",0.0
"('V19', 6)",0.0
"('V19', 7)",0.0
"('V19', 8)",0.0
"('V19', 9)",0.0
"('V19', 10)",0.0
"('V19', 11)",0.0
"('V19', 12)",0.0
"('V19', 13)",0.0
"('V19', 14)",0.0
"('V19', 15)",0.0
"('V19', 16)",0.0
"('V19', 17)",0.0
"('V19', 18)",0.0
"('V19', 19)",0.0
"('V19', 20)",0.0
"('V19', 21)",0.0
"('V19', 22)",0.0
"('V19', 23)",0.0
"('V19', 24)",0.0
"('V19', 25)",0.0
"('V19', 26)",0.0
"('V19', 27)",0.0
"('V19', 28)",0.0
"('V19', 29)",0.0
"('V19', 30)",0.0
"('V19', 31)",0.0
"('V19', 32)",0.0
"('V19', 33)",0.0
"('V19', 34)",0.0
"('V19', 35)",0.0
"('V19', 36)",0.0
"('V19', 37)",0.0
"('V19', 38)",0.0
"('V19', 39)",0.0
"('V19', 40)",0.0
"('V19', 41)",0.0
"('V19', 42)",0.0
"('V19', 43)",0.0
"('V19', 44)",0.0
"('V19', 45)",0.0
"('V19', 46)",0.0
"('V19', 47)",0.0
"('V19', 48)",0.0
"('V19', 49)",0.0
"('V19', 50)",0.0
"('V19', 51)",0.0
"('V19', 52)",0.0
"('V19', 53)",0.0
"('V19', 54)",0.0
"('V19', 55)",0.0
"('V19', 56)",0.0
"('V19', 57)",0.0
"('V19', 58)",0.0
"('V19', 59)",0.0
"('V19', 60)",0.0
"('V19', 61)",0.0
"('V19', 62)",0.0
"('V19', 63)",0.0
