Variable,Value
"(1, 13)",0.0
"(1, 14)",0.0
"(1, 15)",0.0
"(1, 16)",0.0
"(1, 17)",1.0
"(1, 18)",0.0
"(1, 19)",0.0
"(2, 18)",0.0
"(2, 19)",0.0
"(2, 20)",0.0
"(2, 21)",1.0
"(2, 22)",0.0
"(2, 23)",0.0
"(2, 24)",0.0
"(3, 38)",0.0
"(3, 39)",0.0
"(3, 40)",0.0
"(3, 41)",0.0
"(3, 42)",0.0
"(3, 43)",0.0
"(3, 44)",1.0
"(4, 42)",0.0
"(4, 43)",0.0
"(4, 44)",0.0
"(4, 45)",1.0
"(4, 46)",0.0
"(4, 47)",-0.0
"(4, 48)",-0.0
"(5, 17)",0.0
"(5, 18)",0.0
"(5, 19)",1.0
"(5, 20)",0.0
"(5, 21)",0.0
"(5, 22)",0.0
"(5, 23)",0.0
"(6, 23)",0.0
"(6, 24)",0.0
"(6, 25)",0.0
"(6, 26)",1.0
"(6, 27)",0.0
"(6, 28)",0.0
"(6, 29)",0.0
"(7, 6)",0.0
"(7, 7)",0.0
"(7, 8)",1.0
"(7, 9)",0.0
"(7, 10)",0.0
"(7, 11)",0.0
"(7, 12)",0.0
"(8, 7)",0.0
"(8, 8)",0.0
"(8, 9)",0.0
"(8, 10)",0.0
"(8, 11)",1.0
"(8, 12)",0.0
"(8, 13)",0.0
"(9, 3)",0.0
"(9, 4)",0.0
"(9, 5)",0.0
"(9, 6)",0.0
"(9, 7)",0.0
"(9, 8)",1.0
"(9, 9)",0.0
"(10, 5)",1.0
"(10, 6)",0.0
"(10, 7)",0.0
"(10, 8)",0.0
"(10, 9)",0.0
"(10, 10)",0.0
"(10, 11)",0.0
"(11, 8)",0.0
"(11, 9)",0.0
"(11, 10)",0.0
"(11, 11)",1.0
"(11, 12)",0.0
"(11, 13)",0.0
"(11, 14)",0.0
"(12, 9)",0.0
"(12, 10)",0.0
"(12, 11)",0.0
"(12, 12)",0.0
"(12, 13)",0.0
"(12, 14)",0.0
"(12, 15)",1.0
"(13, 14)",0.0
"(13, 15)",0.0
"(13, 16)",1.0
"(13, 17)",0.0
"(13, 18)",0.0
"(13, 19)",0.0
"(13, 20)",0.0
"(14, 7)",0.0
"(14, 8)",0.0
"(14, 9)",0.0
"(14, 10)",0.0
"(14, 11)",0.0
"(14, 12)",1.0
"(14, 13)",0.0
"(15, 13)",0.0
"(15, 14)",1.0
"(15, 15)",0.0
"(15, 16)",0.0
"(15, 17)",0.0
"(15, 18)",0.0
"(15, 19)",0.0
"(16, 5)",0.0
"(16, 6)",0.0
"(16, 7)",1.0
"(16, 8)",0.0
"(16, 9)",0.0
"(16, 10)",0.0
"(16, 11)",0.0
"(17, 11)",0.0
"(17, 12)",0.0
"(17, 13)",0.0
"(17, 14)",0.0
"(17, 15)",1.0
"(17, 16)",0.0
"(17, 17)",0.0
"(18, 9)",0.0
"(18, 10)",0.0
"(18, 11)",0.0
"(18, 12)",0.0
"(18, 13)",0.0
"(18, 14)",1.0
"(18, 15)",0.0
"(19, 12)",0.0
"(19, 13)",0.0
"(19, 14)",0.0
"(19, 15)",0.0
"(19, 16)",0.0
"(19, 17)",0.0
"(19, 18)",1.0
