Time,Station,Wharf
06:40,Circular Quay,CQ1
06:52,Taronga Zoo,TZ1
07:09,Circular Quay,CQ5
07:10,Circular Quay,CQ1
07:22,Taronga Zoo,TZ1
07:39,Circular Quay,CQ4
07:40,Circular Quay,CQ1
07:52,Taronga Zoo,TZ1
08:09,Circular Quay,CQ1
08:10,Circular Quay,CQ1
08:22,Taronga Zoo,TZ1
08:39,Circular Quay,CQ1
08:40,Circular Quay,CQ1
08:52,Taronga Zoo,TZ1
09:09,Circular Quay,CQ5
09:10,Circular Quay,CQ1
09:22,Taronga Zoo,TZ1
09:39,Circular Quay,CQ3
09:40,Circular Quay,CQ1
09:52,Taronga Zoo,TZ1
10:09,Circular Quay,CQ2
10:10,Circular Quay,CQ1
10:22,Taronga Zoo,TZ1
10:39,Circular Quay,CQ5
10:40,Circular Quay,CQ1
10:52,Taronga Zoo,TZ1
11:09,Circular Quay,CQ2
