Time,Station,Wharf
06:05,Circular Quay,CQ1
06:25,Mosman,Mos1
06:55,Circular Quay,CQ5
06:35,Circular Quay,CQ1
06:55,Mosman,Mos1
07:25,Circular Quay,CQ4
07:05,Circular Quay,CQ1
07:25,Mosman,Mos1
07:55,Circular Quay,CQ3
07:35,Circular Quay,CQ1
07:55,Mosman,Mos1
08:25,Circular Quay,CQ3
08:05,Circular Quay,CQ1
08:25,Mosman,Mos1
08:55,Circular Quay,CQ4
08:35,Circular Quay,CQ1
08:55,Mosman,Mos1
09:25,Circular Quay,CQ2
09:05,Circular Quay,CQ1
09:25,Mosman,Mos1
09:55,Circular Quay,CQ4
09:35,Circular Quay,CQ1
09:55,Mosman,Mos1
10:25,Circular Quay,CQ1
10:05,Circular Quay,CQ1
10:25,Mosman,Mos1
10:55,Circular Quay,CQ5
