Time,Station,Wharf
06:15,Circular Quay,CQ4
06:33,Double Bay,DB1
07:01,Circular Quay,CQ1
06:45,Circular Quay,CQ4
07:03,Double Bay,DB1
07:31,Circular Quay,CQ1
07:15,Circular Quay,CQ4
07:33,Double Bay,DB1
08:01,Circular Quay,CQ1
07:45,Circular Quay,CQ4
08:03,Double Bay,DB1
08:31,Circular Quay,CQ1
08:15,Circular Quay,CQ4
08:33,Double Bay,DB1
09:01,Circular Quay,CQ1
08:45,Circular Quay,CQ4
09:03,Double Bay,DB1
09:31,Circular Quay,CQ1
09:15,Circular Quay,CQ4
09:33,Double Bay,DB1
10:01,Circular Quay,CQ1
09:45,Circular Quay,CQ4
10:03,Double Bay,DB1
10:31,Circular Quay,CQ1
10:15,Circular Quay,CQ4
10:33,Double Bay,DB1
11:01,Circular Quay,CQ1
