Time,Station,Wharf
06:20,Circular Quay,CQ1
06:50,Cockatoo Island,CI1
07:29,Circular Quay,CQ4
06:50,Circular Quay,CQ1
07:20,Cockatoo Island,CI1
07:59,Circular Quay,CQ4
07:20,Circular Quay,CQ1
07:50,Cockatoo Island,CI1
08:29,Circular Quay,CQ2
07:50,Circular Quay,CQ1
08:20,Cockatoo Island,CI1
08:59,Circular Quay,CQ3
08:20,Circular Quay,CQ1
08:50,Cockatoo Island,CI1
09:29,Circular Quay,CQ3
08:50,Circular Quay,CQ1
09:20,Cockatoo Island,CI1
09:59,Circular Quay,CQ3
09:20,Circular Quay,CQ1
09:50,Cockatoo Island,CI1
10:29,Circular Quay,CQ2
09:50,Circular Quay,CQ1
10:20,Cockatoo Island,CI1
10:59,Circular Quay,CQ3
