Vessel,Task,Start_Station,Start_Wharf,Start_Time,End_Station,End_Wharf,End_Time
24M,Waiting,Cockatoo Island,CI1,05:35,Cockatoo Island,CI1,05:40
24M,Charging,Cockatoo Island,CI1,05:40,Cockatoo Island,CI1,05:45
24M,Waiting,Cockatoo Island,CI1,05:45,Cockatoo Island,CI1,05:50
24M,Waiting,Cockatoo Island,CI1,05:50,Cockatoo Island,CI1,05:55
24M,Waiting,Cockatoo Island,CI1,05:55,Cockatoo Island,CI1,06:00
24M,Charging,Cockatoo Island,CI1,06:00,Cockatoo Island,CI1,06:05
24M,Charging,Cockatoo Island,CI1,06:05,Cockatoo Island,CI1,06:10
24M,Charging,Cockatoo Island,CI1,06:10,Cockatoo Island,CI1,06:15
24M,Waiting,Cockatoo Island,CI1,06:15,Cockatoo Island,CI1,06:20
24M,Charging,Cockatoo Island,CI1,06:20,Cockatoo Island,CI1,06:25
24M,Waiting,Cockatoo Island,CI1,06:25,Cockatoo Island,CI1,06:30
24M,Waiting,Circular Quay,CQ5,06:45,Circular Quay,CQ5,06:50
24M,Waiting,Circular Quay,CQ2,06:50,Circular Quay,CQ2,06:55
24M,Waiting,Circular Quay,CQ5,06:55,Circular Quay,CQ5,07:00
24M,9,Circular Quay,CQ1,07:05,Circular Quay,CQ5,07:37
24M,Waiting,Circular Quay,CQ3,07:45,Circular Quay,CQ3,07:50
24M,12,Circular Quay,CQ1,07:55,Double Bay,DB1,08:16
24M,Waiting,Circular Quay,CQ4,08:40,Circular Quay,CQ4,08:45
24M,Waiting,Circular Quay,CQ2,08:45,Circular Quay,CQ2,08:50
24M,Charging,Circular Quay,CQ2,08:50,Circular Quay,CQ2,08:55
24M,Charging,Circular Quay,CQ2,08:55,Circular Quay,CQ2,09:00
24M,Charging,Circular Quay,CQ2,09:00,Circular Quay,CQ2,09:05
24M,Charging,Circular Quay,CQ2,09:05,Circular Quay,CQ2,09:10
24M,Charging,Circular Quay,CQ2,09:10,Circular Quay,CQ2,09:15
24M,Charging,Circular Quay,CQ2,09:15,Circular Quay,CQ2,09:20
24M,Charging,Circular Quay,CQ2,09:20,Circular Quay,CQ2,09:25
24M,Charging,Circular Quay,CQ2,09:25,Circular Quay,CQ2,09:30
24M,Charging,Circular Quay,CQ2,09:30,Circular Quay,CQ2,09:35
24M,Charging,Circular Quay,CQ2,09:35,Circular Quay,CQ2,09:40
24M,Waiting,Circular Quay,CQ2,09:40,Circular Quay,CQ2,09:45
24M,Waiting,Circular Quay,CQ5,09:45,Circular Quay,CQ5,09:50
24M,Charging,Circular Quay,CQ5,09:50,Circular Quay,CQ5,09:55
24M,Waiting,Circular Quay,CQ5,09:55,Circular Quay,CQ5,10:00
24M,Crew pause,Circular Quay,CQ2,10:00,Circular Quay,CQ2,10:09
24M,Waiting,Circular Quay,CQ3,10:10,Circular Quay,CQ3,10:15
24M,Waiting,Circular Quay,CQ1,10:15,Circular Quay,CQ1,10:20
24M,Waiting,Circular Quay,CQ3,10:20,Circular Quay,CQ3,10:25
24M,Crew pause,Circular Quay,CQ4,10:25,Circular Quay,CQ4,10:34
24M,Waiting,Circular Quay,CQ3,10:35,Circular Quay,CQ3,10:40
24M,Waiting,Circular Quay,CQ2,10:40,Circular Quay,CQ2,10:45
24M,Crew pause,Circular Quay,CQ3,10:45,Circular Quay,CQ3,10:54
24M,Crew pause,Circular Quay,CQ4,10:55,Circular Quay,CQ4,11:04
24M,Crew pause,Circular Quay,CQ5,11:05,Circular Quay,CQ5,11:14
24M,Crew pause,Circular Quay,CQ3,11:15,Circular Quay,CQ3,11:24
24M,Waiting,Circular Quay,CQ2,11:25,Circular Quay,CQ2,11:30
