Vessel,Task,Start_Station,Start_Wharf,Start_Time,End_Station,End_Wharf,End_Time
EC1,Waiting,Balmain Shipyard,BSY2,05:40,Balmain Shipyard,BSY2,05:45
EC1,Waiting,Balmain Shipyard,BSY2,05:45,Balmain Shipyard,BSY2,05:50
EC1,Waiting,Balmain Shipyard,BSY1,05:50,Balmain Shipyard,BSY1,05:55
EC1,Waiting,Balmain Shipyard,BSY1,05:55,Balmain Shipyard,BSY1,06:00
EC1,14,Circular Quay,CQ1,06:15,Cockatoo Island,CI1,06:49
EC1,15,Cockatoo Island,CI1,07:00,Circular Quay,CQ2,07:32
EC1,Waiting,Circular Quay,CQ2,07:40,Circular Quay,CQ2,07:45
EC1,Crew pause,Circular Quay,CQ5,07:45,Circular Quay,CQ5,07:54
EC1,14,Circular Quay,CQ1,08:00,Cockatoo Island,CI1,08:34
EC1,15,Cockatoo Island,CI1,08:45,Circular Quay,CQ1,09:17
EC1,Waiting,Circular Quay,CQ1,09:25,Circular Quay,CQ1,09:30
EC1,Waiting,Circular Quay,CQ3,09:30,Circular Quay,CQ3,09:35
EC1,Waiting,Circular Quay,CQ4,09:35,Circular Quay,CQ4,09:40
EC1,Waiting,Circular Quay,CQ1,09:40,Circular Quay,CQ1,09:45
EC1,Crew pause,Circular Quay,CQ1,09:45,Circular Quay,CQ1,09:54
EC1,Crew pause,Circular Quay,CQ3,09:55,Circular Quay,CQ3,10:04
EC1,Waiting,Circular Quay,CQ1,10:05,Circular Quay,CQ1,10:10
EC1,Waiting,Circular Quay,CQ5,10:10,Circular Quay,CQ5,10:15
EC1,Waiting,Barangaroo,Bar4,10:30,Barangaroo,Bar4,10:35
EC1,Crew pause,Circular Quay,CQ5,10:50,Circular Quay,CQ5,10:59
EC1,Crew pause,Circular Quay,CQ4,11:00,Circular Quay,CQ4,11:09
EC1,Waiting,Balmain Shipyard,BSY3,11:25,Balmain Shipyard,BSY3,11:30
