Vessel,Task,Start_Station,Start_Wharf,Start_Time,End_Station,End_Wharf,End_Time
RR10,Crew pause,Circular Quay,CQ1,05:40,Circular Quay,CQ1,05:49
RR10,Waiting,Circular Quay,CQ3,05:50,Circular Quay,CQ3,05:55
RR10,Waiting,Circular Quay,CQ5,05:55,Circular Quay,CQ5,06:00
RR10,16,Circular Quay,CQ1,06:05,Watsons Bay,WB1,06:35
RR10,17,Watsons Bay,WB1,06:40,Circular Quay,CQ2,07:00
RR10,Waiting,Circular Quay,CQ4,07:10,Circular Quay,CQ4,07:15
RR10,12,Circular Quay,CQ1,07:20,Double Bay,DB1,07:41
RR10,13,Double Bay,DB1,07:55,Circular Quay,CQ2,08:16
RR10,Waiting,Circular Quay,CQ1,08:25,Circular Quay,CQ1,08:30
RR10,Waiting,Balmain Shipyard,BSY4,08:45,Balmain Shipyard,BSY4,08:50
RR10,Waiting,Balmain Shipyard,BSY2,08:50,Balmain Shipyard,BSY2,08:55
RR10,Crew pause,Balmain Shipyard,BSY1,08:55,Balmain Shipyard,BSY1,09:04
RR10,Waiting,Barangaroo,Bar4,09:15,Barangaroo,Bar4,09:20
RR10,Waiting,Barangaroo,Bar5,09:20,Barangaroo,Bar5,09:25
RR10,Waiting,Barangaroo,Bar4,09:25,Barangaroo,Bar4,09:30
RR10,Waiting,Barangaroo,Bar5,09:30,Barangaroo,Bar5,09:35
RR10,Waiting,Barangaroo,Bar4,09:35,Barangaroo,Bar4,09:40
RR10,Crew pause,Barangaroo,Bar5,09:40,Barangaroo,Bar5,09:49
RR10,Waiting,Barangaroo,Bar4,09:50,Barangaroo,Bar4,09:55
RR10,Waiting,Circular Quay,CQ2,10:10,Circular Quay,CQ2,10:15
RR10,Waiting,Circular Quay,CQ3,10:15,Circular Quay,CQ3,10:20
RR10,Waiting,Barangaroo,Bar4,10:35,Barangaroo,Bar4,10:40
RR10,Crew pause,Barangaroo,Bar4,10:40,Barangaroo,Bar4,10:49
RR10,Waiting,Barangaroo,Bar4,10:50,Barangaroo,Bar4,10:55
RR10,Waiting,Barangaroo,Bar5,10:55,Barangaroo,Bar5,11:00
RR10,Waiting,Barangaroo,Bar4,11:00,Barangaroo,Bar4,11:05
RR10,Waiting,Barangaroo,Bar5,11:05,Barangaroo,Bar5,11:10
RR10,Waiting,Barangaroo,Bar2,11:10,Barangaroo,Bar2,11:15
RR10,Crew pause,Barangaroo,Bar4,11:15,Barangaroo,Bar4,11:24
RR10,Waiting,Barangaroo,Bar4,11:25,Barangaroo,Bar4,11:30
