Vessel,Task,Start_Station,Start_Wharf,Start_Time,End_Station,End_Wharf,End_Time
EC3,Waiting,Circular Quay,CQ1,05:40,Circular Quay,CQ1,05:45
EC3,Waiting,Circular Quay,CQ5,05:45,Circular Quay,CQ5,05:50
EC3,Waiting,Circular Quay,CQ5,05:50,Circular Quay,CQ5,05:55
EC3,Waiting,Circular Quay,CQ1,05:55,Circular Quay,CQ1,06:00
EC3,7,Circular Quay,CQ1,06:05,Pyrmont Bay,PB1,06:34
EC3,7,Circular Quay,CQ1,06:55,Pyrmont Bay,PB1,07:24
EC3,Waiting,Barangaroo,Bar4,07:35,Barangaroo,Bar4,07:40
EC3,Waiting,Barangaroo,Bar1,07:40,Barangaroo,Bar1,07:45
EC3,Waiting,Barangaroo,Bar5,07:45,Barangaroo,Bar5,07:50
EC3,10,Circular Quay,CQ1,08:05,Mosman,Mos1,08:32
EC3,4,Taronga Zoo,TZ1,09:00,Circular Quay,CQ5,09:28
EC3,3,Circular Quay,CQ1,09:40,Taronga Zoo,TZ1,09:58
EC3,4,Taronga Zoo,TZ1,10:10,Circular Quay,CQ1,10:38
EC3,3,Circular Quay,CQ1,10:50,Taronga Zoo,TZ1,11:08
EC3,Waiting,Rose Bay,RB1,11:25,Rose Bay,RB1,11:30
