Vessel,Task,Start_Station,Start_Wharf,Start_Time,End_Station,End_Wharf,End_Time
FF4,Waiting,Balmain Shipyard,BSY4,05:40,Balmain Shipyard,BSY4,05:45
FF4,Waiting,Rose Bay,RB1,06:05,Rose Bay,RB1,06:10
FF4,Waiting,Rose Bay,RB1,06:10,Rose Bay,RB1,06:15
FF4,Waiting,Rose Bay,RB1,06:15,Rose Bay,RB1,06:20
FF4,Waiting,Rose Bay,RB1,06:20,Rose Bay,RB1,06:25
FF4,Waiting,Rose Bay,RB1,06:25,Rose Bay,RB1,06:30
FF4,Waiting,Barangaroo,Bar4,06:50,Barangaroo,Bar4,06:55
FF4,8,Pyrmont Bay,PB1,07:00,Circular Quay,CQ3,07:32
FF4,Crew pause,Circular Quay,CQ1,07:40,Circular Quay,CQ1,07:49
FF4,1,Circular Quay,CQ1,07:50,Mosman,Mos1,08:08
FF4,2,Mosman,Mos1,08:15,Circular Quay,CQ4,08:33
FF4,Waiting,Circular Quay,CQ1,08:40,Circular Quay,CQ1,08:45
FF4,Waiting,Barangaroo,Bar2,09:00,Barangaroo,Bar2,09:05
FF4,Waiting,Balmain Shipyard,BSY4,09:15,Balmain Shipyard,BSY4,09:20
FF4,Waiting,Pyrmont Bay,PB1,09:30,Pyrmont Bay,PB1,09:35
FF4,Charging,Pyrmont Bay,PB1,09:35,Pyrmont Bay,PB1,09:40
FF4,Waiting,Pyrmont Bay,PB1,09:40,Pyrmont Bay,PB1,09:45
FF4,Waiting,Barangaroo,Bar1,09:50,Barangaroo,Bar1,09:55
FF4,Waiting,Barangaroo,Bar4,09:55,Barangaroo,Bar4,10:00
FF4,3,Circular Quay,CQ1,10:15,Taronga Zoo,TZ1,10:33
FF4,4,Taronga Zoo,TZ1,10:45,Circular Quay,CQ4,11:13
FF4,Waiting,Circular Quay,CQ5,11:20,Circular Quay,CQ5,11:25
FF4,Waiting,Circular Quay,CQ2,11:25,Circular Quay,CQ2,11:30
