Vessel,Task,Start_Station,Start_Wharf,Start_Time,End_Station,End_Wharf,End_Time
V3,Waiting,Barangaroo,Bar5,05:35,Barangaroo,Bar5,05:40
V3,Waiting,Barangaroo,Bar2,05:40,Barangaroo,Bar2,05:45
V3,Crew pause,Barangaroo,Bar4,05:45,Barangaroo,Bar4,05:55
V3,Waiting,Barangaroo,Bar2,05:55,Barangaroo,Bar2,06:00
V3,Waiting,Barangaroo,Bar5,06:00,Barangaroo,Bar5,06:05
V3,Waiting,Circular Quay,CQ5,06:15,Circular Quay,CQ5,06:20
V3,Charging,Circular Quay,CQ5,06:20,Circular Quay,CQ5,06:25
V3,Charging,Circular Quay,CQ5,06:25,Circular Quay,CQ5,06:30
V3,Charging,Circular Quay,CQ5,06:30,Circular Quay,CQ5,06:35
V3,Charging,Circular Quay,CQ5,06:35,Circular Quay,CQ5,06:40
V3,Waiting,Circular Quay,CQ5,06:40,Circular Quay,CQ5,06:45
V3,Crew pause,Circular Quay,CQ2,06:45,Circular Quay,CQ2,06:55
V3,Crew pause,Circular Quay,CQ3,06:55,Circular Quay,CQ3,07:05
V3,F2 - Taronga Zoo,Circular Quay,CQ1,07:05,Circular Quay,CQ4,07:36
V3,Waiting,Circular Quay,CQ1,07:45,Circular Quay,CQ1,07:50
V3,Waiting,Circular Quay,CQ2,07:50,Circular Quay,CQ2,07:55
V3,Waiting,Circular Quay,CQ3,07:55,Circular Quay,CQ3,08:00
V3,F5 - Neutral Bay,Circular Quay,CQ1,08:00,Circular Quay,CQ2,08:32
V3,F8 - Cockatoo Island,Circular Quay,CQ1,08:40,Circular Quay,CQ4,09:51
V3,Waiting,Circular Quay,CQ3,10:00,Circular Quay,CQ3,10:05
V3,F7 - Double Bay,Circular Quay,CQ1,10:05,Circular Quay,CQ4,10:53
V3,Waiting,Circular Quay,CQ1,11:00,Circular Quay,CQ1,11:05
V3,Waiting,Circular Quay,CQ4,11:05,Circular Quay,CQ4,11:10
V3,Waiting,Circular Quay,CQ4,11:10,Circular Quay,CQ4,11:15
V3,Waiting,Circular Quay,CQ2,11:15,Circular Quay,CQ2,11:20
V3,Waiting,Circular Quay,CQ3,11:20,Circular Quay,CQ3,11:25
V3,Waiting,Circular Quay,CQ4,11:25,Circular Quay,CQ4,11:30
