Vessel,Task,Start_Station,Start_Wharf,Start_Time,End_Station,End_Wharf,End_Time
V6,Waiting,Pyrmont Bay,PB1,05:40,Pyrmont Bay,PB1,05:45
V6,Waiting,Circular Quay,CQ4,06:00,Circular Quay,CQ4,06:05
V6,Charging,Circular Quay,CQ4,06:05,Circular Quay,CQ4,06:10
V6,Waiting,Circular Quay,CQ4,06:10,Circular Quay,CQ4,06:15
V6,5,Circular Quay,CQ4,06:15,Circular Quay,CQ1,07:10
V6,6,Circular Quay,CQ4,07:10,Circular Quay,CQ1,08:30
V6,4,Circular Quay,CQ2,08:30,Circular Quay,CQ1,09:30
V6,Waiting,Barangaroo,Bar1,09:40,Barangaroo,Bar1,09:45
V6,Charging,Barangaroo,Bar1,09:45,Barangaroo,Bar1,09:50
V6,Charging,Barangaroo,Bar1,09:50,Barangaroo,Bar1,09:55
V6,Waiting,Barangaroo,Bar1,09:55,Barangaroo,Bar1,10:00
V6,Waiting,Barangaroo,Bar4,10:00,Barangaroo,Bar4,10:05
V6,Waiting,Barangaroo,Bar4,10:05,Barangaroo,Bar4,10:10
V6,Waiting,Barangaroo,Bar1,10:10,Barangaroo,Bar1,10:15
V6,Charging,Barangaroo,Bar1,10:15,Barangaroo,Bar1,10:20
V6,Charging,Barangaroo,Bar1,10:20,Barangaroo,Bar1,10:25
V6,Charging,Barangaroo,Bar1,10:25,Barangaroo,Bar1,10:30
V6,Waiting,Barangaroo,Bar1,10:30,Barangaroo,Bar1,10:35
V6,Waiting,Circular Quay,CQ3,10:45,Circular Quay,CQ3,10:50
V6,Waiting,Cockatoo Island,CI1,11:05,Cockatoo Island,CI1,11:10
V6,Waiting,Barangaroo,Bar5,11:25,Barangaroo,Bar5,11:30
