Vessel,Task,Start_Station,Start_Wharf,Start_Time,End_Station,End_Wharf,End_Time
24M,Waiting,Circular Quay,CQ1,05:40,Circular Quay,CQ1,05:45
24M,9,Circular Quay,CQ1,05:50,Circular Quay,CQ1,06:22
24M,Waiting,Circular Quay,CQ1,06:30,Circular Quay,CQ1,06:35
24M,Waiting,Circular Quay,CQ1,06:35,Circular Quay,CQ1,06:40
24M,Waiting,Circular Quay,CQ4,06:40,Circular Quay,CQ4,06:45
24M,Waiting,Circular Quay,CQ4,06:45,Circular Quay,CQ4,06:50
24M,Waiting,Circular Quay,CQ4,06:50,Circular Quay,CQ4,06:55
24M,9,Circular Quay,CQ1,07:00,Circular Quay,CQ5,07:32
24M,Waiting,Barangaroo,Bar1,07:55,Barangaroo,Bar1,08:00
24M,Waiting,Barangaroo,Bar1,08:00,Barangaroo,Bar1,08:05
24M,Waiting,Barangaroo,Bar1,08:05,Barangaroo,Bar1,08:10
24M,5,Circular Quay,CQ1,08:25,Parramatta,Pm1,09:55
24M,Waiting,Barangaroo,Bar1,10:55,Barangaroo,Bar1,11:00
24M,Waiting,Barangaroo,Bar2,11:00,Barangaroo,Bar2,11:05
24M,Waiting,Barangaroo,Bar1,11:05,Barangaroo,Bar1,11:10
24M,Waiting,Barangaroo,Bar2,11:10,Barangaroo,Bar2,11:15
24M,Crew pause,Barangaroo,Bar4,11:15,Barangaroo,Bar4,11:24
24M,Waiting,Pyrmont Bay,PB1,11:25,Pyrmont Bay,PB1,11:30
