Vessel,Task,Start_Station,Start_Wharf,Start_Time,End_Station,End_Wharf,End_Time
RR6,Waiting,Balmain Shipyard,BSY6,05:40,Balmain Shipyard,BSY6,05:45
RR6,Waiting,Balmain Shipyard,BSY5,05:45,Balmain Shipyard,BSY5,05:50
RR6,Waiting,Parramatta,Pm1,06:45,Parramatta,Pm1,06:50
RR6,Charging,Parramatta,Pm1,06:50,Parramatta,Pm1,06:55
RR6,Waiting,Parramatta,Pm1,06:55,Parramatta,Pm1,07:00
RR6,Waiting,Parramatta,Pm1,07:00,Parramatta,Pm1,07:05
RR6,Waiting,Parramatta,Pm1,07:05,Parramatta,Pm1,07:10
RR6,Waiting,Parramatta,Pm1,07:10,Parramatta,Pm1,07:15
RR6,Charging,Parramatta,Pm1,07:15,Parramatta,Pm1,07:20
RR6,Charging,Parramatta,Pm1,07:20,Parramatta,Pm1,07:25
RR6,Charging,Parramatta,Pm1,07:25,Parramatta,Pm1,07:30
RR6,Charging,Parramatta,Pm1,07:30,Parramatta,Pm1,07:35
RR6,Charging,Parramatta,Pm1,07:35,Parramatta,Pm1,07:40
RR6,Charging,Parramatta,Pm1,07:40,Parramatta,Pm1,07:45
RR6,Waiting,Parramatta,Pm1,07:45,Parramatta,Pm1,07:50
RR6,Waiting,Parramatta,Pm1,07:50,Parramatta,Pm1,07:55
RR6,6,Parramatta,Pm1,08:00,Circular Quay,CQ4,09:30
RR6,Waiting,Circular Quay,CQ5,09:40,Circular Quay,CQ5,09:45
RR6,Crew pause,Balmain Shipyard,BSY1,10:00,Balmain Shipyard,BSY1,10:09
RR6,Waiting,Barangaroo,Bar1,10:20,Barangaroo,Bar1,10:25
RR6,Waiting,Barangaroo,Bar1,10:25,Barangaroo,Bar1,10:30
RR6,Waiting,Barangaroo,Bar5,10:30,Barangaroo,Bar5,10:35
RR6,Waiting,Barangaroo,Bar2,10:35,Barangaroo,Bar2,10:40
RR6,Waiting,Barangaroo,Bar1,10:40,Barangaroo,Bar1,10:45
RR6,Waiting,Barangaroo,Bar2,10:45,Barangaroo,Bar2,10:50
RR6,Crew pause,Barangaroo,Bar1,10:50,Barangaroo,Bar1,10:59
RR6,Waiting,Barangaroo,Bar5,11:00,Barangaroo,Bar5,11:05
RR6,Waiting,Barangaroo,Bar4,11:05,Barangaroo,Bar4,11:10
RR6,Waiting,Barangaroo,Bar1,11:10,Barangaroo,Bar1,11:15
RR6,Waiting,Barangaroo,Bar5,11:15,Barangaroo,Bar5,11:20
RR6,Waiting,Barangaroo,Bar1,11:20,Barangaroo,Bar1,11:25
RR6,Waiting,Barangaroo,Bar1,11:25,Barangaroo,Bar1,11:30
