Vessel,Task,Start_Station,Start_Wharf,Start_Time,End_Station,End_Wharf,End_Time
V17,Waiting,Circular Quay,CQ4,05:40,Circular Quay,CQ4,05:45
V17,Crew pause,Circular Quay,CQ4,05:45,Circular Quay,CQ4,05:55
V17,Crew pause,Circular Quay,CQ4,05:55,Circular Quay,CQ4,06:05
V17,Waiting,Circular Quay,CQ4,06:05,Circular Quay,CQ4,06:10
V17,Waiting,Circular Quay,CQ1,06:10,Circular Quay,CQ1,06:15
V17,7,Circular Quay,CQ1,06:15,Circular Quay,CQ2,07:00
V17,2,Circular Quay,CQ1,07:00,Circular Quay,CQ4,08:15
V17,7,Circular Quay,CQ1,08:15,Circular Quay,CQ2,09:00
V17,Crew pause,Circular Quay,CQ2,09:00,Circular Quay,CQ2,09:10
V17,2,Circular Quay,CQ1,09:10,Circular Quay,CQ4,10:25
V17,Waiting,Circular Quay,CQ2,10:25,Circular Quay,CQ2,10:30
V17,Waiting,Circular Quay,CQ3,10:30,Circular Quay,CQ3,10:35
V17,Waiting,Circular Quay,CQ4,10:35,Circular Quay,CQ4,10:40
V17,Waiting,Circular Quay,CQ4,10:40,Circular Quay,CQ4,10:45
V17,Crew pause,Circular Quay,CQ2,10:45,Circular Quay,CQ2,10:55
V17,Waiting,Circular Quay,CQ4,10:55,Circular Quay,CQ4,11:00
V17,Crew pause,Barangaroo,Bar4,11:10,Barangaroo,Bar4,11:20
V17,Crew pause,Barangaroo,Bar2,11:20,Barangaroo,Bar2,11:30
