Vessel,Task,Wharf,Time
EC1,Waiting,BSY2,05:40-05:45
FF8,Waiting,BSY2,05:40-05:45
EC1,Waiting,BSY2,05:45-05:50
RR6,Waiting,BSY2,05:45-05:50
FF5,Crew pause,BSY2,05:50-05:55
FF3,Crew pause,BSY2,05:50-05:55
FF5,Crew pause,BSY2,05:55-06:00
FF3,Crew pause,BSY2,05:55-06:00
RR8,Crew pause,BSY2,06:00-06:05
RR11,Crew pause,BSY2,06:00-06:05
RR11,Crew pause,BSY2,06:05-06:10
RR8,Crew pause,BSY2,06:05-06:10
RR5,Crew pause,BSY2,06:20-06:25
RR5,Crew pause,BSY2,06:25-06:30
RR10,Waiting,BSY2,08:50-08:55
FF2,Waiting,BSY2,09:05-09:10
RR11,Crew pause,BSY2,09:05-09:10
RR11,Crew pause,BSY2,09:10-09:15
RR11,Waiting,BSY2,09:15-09:20
FF7,Crew pause,BSY2,09:20-09:25
FF8,Waiting,BSY2,09:25-09:30
FF7,Crew pause,BSY2,09:25-09:30
FF8,Waiting,BSY2,09:30-09:35
FF7,Waiting,BSY2,09:35-09:40
FF2,Waiting,BSY2,09:50-09:55
RR7,Waiting,BSY2,10:05-10:10
FF2,Crew pause,BSY2,10:10-10:15
RR7,Crew pause,BSY2,10:15-10:20
FF2,Crew pause,BSY2,10:15-10:20
RR7,Crew pause,BSY2,10:20-10:25
FF7,Crew pause,BSY2,10:20-10:25
FF5,Waiting,BSY2,10:25-10:30
FF7,Crew pause,BSY2,10:25-10:30
FF5,Waiting,BSY2,10:30-10:35
EC4,Waiting,BSY2,10:40-10:45
EC5,Crew pause,BSY2,10:50-10:55
EC5,Crew pause,BSY2,10:55-11:00
RR9,Waiting,BSY2,11:00-11:05
FF5,Waiting,BSY2,11:05-11:10
RR9,Waiting,BSY2,11:15-11:20
RR8,Waiting,BSY2,11:20-11:25
EC2,Waiting,BSY2,11:20-11:25
FF5,Waiting,BSY2,11:25-11:30
