Vessel,Task,Wharf,Time
RR10,Crew pause,CQ1,05:40-05:45
EC3,Waiting,CQ1,05:40-05:45
RR10,Crew pause,CQ1,05:45-05:50
EC3,Waiting,CQ1,05:55-06:00
FF6,Crew pause,CQ1,06:05-06:10
FF6,Crew pause,CQ1,06:10-06:15
RR6,Waiting,CQ1,06:10-06:15
FF6,Crew pause,CQ1,06:15-06:20
RR12,Waiting,CQ1,06:15-06:20
FF6,Crew pause,CQ1,06:20-06:25
RR12,Waiting,CQ1,06:20-06:25
RR4,Crew pause,CQ1,06:35-06:40
RR4,Crew pause,CQ1,06:40-06:45
RR1,Crew pause,CQ1,06:40-06:45
RR1,Crew pause,CQ1,06:45-06:50
RR1,Waiting,CQ1,06:50-06:55
EC2,13,CQ1,07:05-07:10
EC2,13,CQ1,07:10-07:15
RR12,Crew pause,CQ1,07:25-07:30
FF7,Crew pause,CQ1,07:30-07:35
RR12,Crew pause,CQ1,07:30-07:35
FF7,Crew pause,CQ1,07:35-07:40
RR12,Waiting,CQ1,07:35-07:40
RR12,Waiting,CQ1,07:40-07:45
FF4,Crew pause,CQ1,07:40-07:45
FF4,Crew pause,CQ1,07:45-07:50
RR12,Waiting,CQ1,08:00-08:05
FF2,Crew pause,CQ1,08:05-08:10
FF2,Crew pause,CQ1,08:10-08:15
FF2,Crew pause,CQ1,08:15-08:20
FF2,Crew pause,CQ1,08:20-08:25
RR10,Waiting,CQ1,08:25-08:30
FF8,Waiting,CQ1,08:25-08:30
FF8,Waiting,CQ1,08:30-08:35
EC5,11,CQ1,08:35-08:40
EC5,11,CQ1,08:40-08:45
FF4,Waiting,CQ1,08:40-08:45
EC5,11,CQ1,08:45-08:50
EC5,Crew pause,CQ1,08:55-09:00
EC5,Crew pause,CQ1,09:00-09:05
EC5,Waiting,CQ1,09:05-09:10
RR3,Crew pause,CQ1,09:10-09:15
RR3,Crew pause,CQ1,09:15-09:20
EC1,15,CQ1,09:15-09:20
EC1,15,CQ1,09:20-09:25
EC1,Waiting,CQ1,09:25-09:30
FF6,Crew pause,CQ1,09:35-09:40
FF6,Crew pause,CQ1,09:40-09:45
EC1,Waiting,CQ1,09:40-09:45
EC1,Crew pause,CQ1,09:45-09:50
RR3,Crew pause,CQ1,09:45-09:50
EC1,Crew pause,CQ1,09:50-09:55
RR3,Crew pause,CQ1,09:50-09:55
FF3,Crew pause,CQ1,09:55-10:00
RR3,Waiting,CQ1,09:55-10:00
EC2,4,CQ1,10:00-10:05
FF3,Crew pause,CQ1,10:00-10:05
EC2,4,CQ1,10:05-10:10
EC1,Waiting,CQ1,10:05-10:10
EC2,4,CQ1,10:10-10:15
RR8,Crew pause,CQ1,10:10-10:15
RR8,Crew pause,CQ1,10:15-10:20
24M,Waiting,CQ1,10:15-10:20
EC2,Crew pause,CQ1,10:20-10:25
FF8,Crew pause,CQ1,10:25-10:30
EC2,Crew pause,CQ1,10:25-10:30
FF8,Crew pause,CQ1,10:30-10:35
EC2,Crew pause,CQ1,10:30-10:35
EC3,4,CQ1,10:35-10:40
EC2,Crew pause,CQ1,10:35-10:40
EC3,4,CQ1,10:40-10:45
FF8,Waiting,CQ1,10:40-10:45
RR2,Waiting,CQ1,10:45-10:50
EC3,4,CQ1,10:45-10:50
RR2,Crew pause,CQ1,10:50-10:55
RR3,Crew pause,CQ1,10:50-10:55
RR2,Crew pause,CQ1,10:55-11:00
RR3,Crew pause,CQ1,10:55-11:00
FF7,Waiting,CQ1,11:00-11:05
FF7,Waiting,CQ1,11:05-11:10
RR2,Waiting,CQ1,11:10-11:15
FF8,Waiting,CQ1,11:15-11:20
FF7,Crew pause,CQ1,11:15-11:20
FF7,Crew pause,CQ1,11:20-11:25
FF8,Waiting,CQ1,11:20-11:25
FF6,Waiting,CQ1,11:25-11:30
RR3,Waiting,CQ1,11:25-11:30
