Vessel,Task,Wharf,Time
V4,6,CI1,06:50-06:55
V4,6,CI1,06:55-07:00
V4,6,CI1,07:00-07:05
V2,6,CI1,07:20-07:25
V2,6,CI1,07:25-07:30
V2,6,CI1,07:30-07:35
V8,6,CI1,07:50-07:55
V8,6,CI1,07:55-08:00
V8,6,CI1,08:00-08:05
V4,6,CI1,08:20-08:25
V4,6,CI1,08:25-08:30
V4,6,CI1,08:30-08:35
V5,6,CI1,08:50-08:55
V5,6,CI1,08:55-09:00
V5,6,CI1,09:00-09:05
V9,6,CI1,09:20-09:25
V9,6,CI1,09:25-09:30
V9,6,CI1,09:30-09:35
V2,6,CI1,09:50-09:55
V2,6,CI1,09:55-10:00
V2,6,CI1,10:00-10:05
V11,6,CI1,10:20-10:25
V11,6,CI1,10:25-10:30
V11,6,CI1,10:30-10:35
