Vessel,Task,Wharf,Time
V18,Waiting,CQ5,05:35-05:40
V11,Waiting,CQ5,05:40-05:45
V13,Crew pause,CQ5,05:45-05:50
V11,Crew pause,CQ5,05:45-05:50
V13,Crew pause,CQ5,05:50-05:55
V11,Crew pause,CQ5,05:50-05:55
V13,Crew pause,CQ5,05:55-06:00
V13,Crew pause,CQ5,06:00-06:05
V15,Crew pause,CQ5,06:05-06:10
V3,Waiting,CQ5,06:05-06:10
V15,Crew pause,CQ5,06:10-06:15
V3,Waiting,CQ5,06:10-06:15
V3,Crew pause,CQ5,06:15-06:20
V11,Crew pause,CQ5,06:20-06:25
V3,Crew pause,CQ5,06:20-06:25
V8,Waiting,CQ5,06:25-06:30
V11,Crew pause,CQ5,06:25-06:30
V12,7,CQ5,06:35-06:40
V12,7,CQ5,06:40-06:45
V7,Crew pause,CQ5,06:50-06:55
V7,Crew pause,CQ5,06:55-07:00
V1,Crew pause,CQ5,07:00-07:05
V1,Crew pause,CQ5,07:05-07:10
V8,1,CQ5,07:10-07:15
V8,1,CQ5,07:15-07:20
V8,1,CQ5,07:20-07:25
V11,Waiting,CQ5,07:30-07:35
V6,Crew pause,CQ5,07:50-07:55
V9,4,CQ5,07:55-08:00
V6,Crew pause,CQ5,07:55-08:00
V9,4,CQ5,08:00-08:05
V2,Crew pause,CQ5,08:15-08:20
V2,Crew pause,CQ5,08:20-08:25
V3,Waiting,CQ5,08:55-09:00
V7,1,CQ5,09:10-09:15
V7,1,CQ5,09:15-09:20
V7,1,CQ5,09:20-09:25
V14,Waiting,CQ5,09:25-09:30
V5,Crew pause,CQ5,09:40-09:45
V5,Crew pause,CQ5,09:45-09:50
V6,4,CQ5,09:55-10:00
V6,4,CQ5,10:00-10:05
V4,5,CQ5,10:05-10:10
V4,5,CQ5,10:10-10:15
V1,Crew pause,CQ5,10:15-10:20
V1,Crew pause,CQ5,10:20-10:25
V7,Waiting,CQ5,10:30-10:35
V4,1,CQ5,10:40-10:45
V4,1,CQ5,10:45-10:50
V4,1,CQ5,10:50-10:55
V6,Crew pause,CQ5,10:50-10:55
V6,Crew pause,CQ5,10:55-11:00
V11,6,CQ5,11:00-11:05
V11,6,CQ5,11:05-11:10
V11,6,CQ5,11:10-11:15
V11,Crew pause,CQ5,11:10-11:15
V2,Waiting,CQ5,11:15-11:20
V11,Crew pause,CQ5,11:15-11:20
V12,Crew pause,CQ5,11:20-11:25
V5,Waiting,CQ5,11:20-11:25
V11,Waiting,CQ5,11:25-11:30
V12,Crew pause,CQ5,11:25-11:30
