Vessel,Task,Wharf,Time
EC1,Waiting,BSY6,05:40-05:45
RR11,Waiting,BSY6,06:15-06:20
RR10,Crew pause,BSY6,06:15-06:20
RR10,Crew pause,BSY6,06:20-06:25
RR4,Crew pause,BSY6,08:50-08:55
RR4,Crew pause,BSY6,08:55-09:00
FF6,Crew pause,BSY6,09:45-09:50
FF6,Crew pause,BSY6,09:50-09:55
FF7,Crew pause,BSY6,10:20-10:25
24M,Crew pause,BSY6,10:25-10:30
FF7,Crew pause,BSY6,10:25-10:30
24M,Crew pause,BSY6,10:30-10:35
FF7,Waiting,BSY6,10:45-10:50
FF7,Waiting,BSY6,10:55-11:00
FF7,Waiting,BSY6,11:00-11:05
RR3,Waiting,BSY6,11:20-11:25
RR7,Waiting,BSY6,11:25-11:30
