Vessel,Task,Wharf,Time
FF3,Waiting,Bar4,05:40-05:45
FF8,Waiting,Bar4,05:40-05:45
EC3,Waiting,Bar4,05:45-05:50
24M,Waiting,Bar4,05:45-05:50
24M,Waiting,Bar4,05:50-05:55
EC2,Waiting,Bar4,05:50-05:55
24M,Waiting,Bar4,05:55-06:00
EC2,Waiting,Bar4,05:55-06:00
EC3,Waiting,Bar4,06:00-06:05
RR1,Waiting,Bar4,06:05-06:10
10M,Waiting,Bar4,06:05-06:10
EC2,Waiting,Bar4,06:10-06:15
10M,Waiting,Bar4,06:10-06:15
EC2,Waiting,Bar4,06:15-06:20
RR8,Waiting,Bar4,06:15-06:20
EC1,8,Bar4,06:20-06:25
EC1,8,Bar4,06:25-06:30
10M,Waiting,Bar4,06:30-06:35
EC1,8,Bar4,06:30-06:35
RR1,Waiting,Bar4,06:35-06:40
FF2,8,Bar4,06:45-06:50
FF2,8,Bar4,06:50-06:55
FF2,8,Bar4,06:55-07:00
EC3,Waiting,Bar4,07:05-07:10
EC3,Waiting,Bar4,07:10-07:15
FF3,8,Bar4,07:10-07:15
EC3,Waiting,Bar4,07:15-07:20
FF3,8,Bar4,07:15-07:20
FF3,8,Bar4,07:20-07:25
FF1,8,Bar4,07:35-07:40
FF1,8,Bar4,07:40-07:45
FF1,8,Bar4,07:45-07:50
RR4,Waiting,Bar4,08:30-08:35
RR4,Waiting,Bar4,08:35-08:40
RR10,Waiting,Bar4,08:55-09:00
RR10,Waiting,Bar4,09:00-09:05
RR8,Waiting,Bar4,09:05-09:10
RR8,Waiting,Bar4,09:10-09:15
24M,Waiting,Bar4,09:20-09:25
24M,Waiting,Bar4,09:25-09:30
RR4,Waiting,Bar4,09:25-09:30
FF5,Waiting,Bar4,09:45-09:50
RR5,Crew pause,Bar4,10:10-10:15
EC4,Waiting,Bar4,10:15-10:20
RR5,Crew pause,Bar4,10:15-10:20
EC4,Waiting,Bar4,10:20-10:25
FF3,Waiting,Bar4,10:25-10:30
FF1,Waiting,Bar4,10:30-10:35
FF1,Waiting,Bar4,10:35-10:40
RR10,Waiting,Bar4,10:35-10:40
RR8,Waiting,Bar4,10:40-10:45
FF3,Crew pause,Bar4,10:40-10:45
FF5,Waiting,Bar4,10:45-10:50
FF3,Crew pause,Bar4,10:45-10:50
FF1,Waiting,Bar4,10:50-10:55
FF5,Waiting,Bar4,10:50-10:55
EC4,Waiting,Bar4,10:55-11:00
FF1,Waiting,Bar4,10:55-11:00
FF3,Waiting,Bar4,11:00-11:05
RR12,Waiting,Bar4,11:25-11:30
24M,Waiting,Bar4,11:25-11:30
