Vessel,Task,Wharf,Time
RR2,Waiting,Cab1,05:45-05:50
RR2,Waiting,Cab1,05:50-05:55
RR2,Waiting,Cab1,05:55-06:00
RR7,Waiting,Cab1,05:55-06:00
RR2,Charging,Cab1,06:00-06:05
RR7,Charging,Cab1,06:00-06:05
RR7,Charging,Cab1,06:05-06:10
RR2,Waiting,Cab1,06:05-06:10
RR7,Waiting,Cab1,06:10-06:15
RR2,Waiting,Cab1,06:15-06:20
RR2,Charging,Cab1,06:20-06:25
RR2,Waiting,Cab1,06:25-06:30
RR2,Waiting,Cab1,06:30-06:35
RR2,Waiting,Cab1,06:35-06:40
RR2,Waiting,Cab1,06:40-06:45
RR2,Waiting,Cab1,06:45-06:50
RR2,Charging,Cab1,06:50-06:55
RR2,Waiting,Cab1,06:55-07:00
RR2,Waiting,Cab1,07:00-07:05
RR2,Waiting,Cab1,07:05-07:10
RR2,Waiting,Cab1,07:10-07:15
RR2,Charging,Cab1,07:15-07:20
RR2,Charging,Cab1,07:20-07:25
RR2,Waiting,Cab1,07:25-07:30
RR2,Waiting,Cab1,07:30-07:35
RR2,Waiting,Cab1,07:35-07:40
RR5,Waiting,Cab1,07:35-07:40
RR2,Waiting,Cab1,07:40-07:45
RR5,Waiting,Cab1,07:40-07:45
RR5,Waiting,Cab1,07:45-07:50
RR5,Waiting,Cab1,07:50-07:55
RR5,Waiting,Cab1,07:55-08:00
RR5,Charging,Cab1,08:00-08:05
RR5,Charging,Cab1,08:05-08:10
RR5,Waiting,Cab1,08:10-08:15
RR8,Waiting,Cab1,08:30-08:35
RR8,Waiting,Cab1,08:35-08:40
RR8,Waiting,Cab1,08:40-08:45
EC3,Waiting,Cab1,09:30-09:35
RR11,Waiting,Cab1,09:35-09:40
RR11,Charging,Cab1,09:40-09:45
RR11,Charging,Cab1,09:45-09:50
RR11,Waiting,Cab1,09:50-09:55
RR11,Charging,Cab1,09:55-10:00
RR11,Charging,Cab1,10:00-10:05
RR11,Waiting,Cab1,10:05-10:10
RR11,Charging,Cab1,10:10-10:15
RR3,Waiting,Cab1,10:10-10:15
EC5,Waiting,Cab1,10:15-10:20
RR11,Charging,Cab1,10:15-10:20
EC5,Waiting,Cab1,10:20-10:25
RR11,Waiting,Cab1,10:20-10:25
RR11,Waiting,Cab1,10:25-10:30
EC5,Waiting,Cab1,10:25-10:30
RR11,Waiting,Cab1,10:30-10:35
